,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
621,2020-12-27,77439,1009,190773,426182,149,26527,327295,27,5306,1449696,558593,507226,463741,170943,729,313291,4160,414568,18918,109,164340,717,303142,4019,19,399996,18119,106,1614335043,6792554061.181028,0.998782719022,0.970082272234,6794876692.403618,6599623016.876049,6803158047.283558,0.0,0.0,0.951438650422,9.48023961999,8.792445856978851,9.207820897108,8.539791180791495,3.778719490958852e-05,0.9987479298655759,0.027748408052498647,-0.1778206163641619,0.007032379272000001,6803395020.120999,6796644102.71881,2435823115.829104,6801069477.155518,6803395020.120999,6621097493.282696,6803395020.120999,6803395020.120999,6803395020.120999,2590304204.883047,6736748295.39311,6803395020.120999,99.96581790479999,6629664174.665814,6799854622.1236,6803381486.962625,6473012976.228678,6755963500.430503,6803131655.600683,6227119731.046785,6716758967.884107,6803394652.904389,6803394474.046253,6803392899.117231,6803371813.278558,6803015903.802258,6798188412.142556,6606599746.177585,6707361907.709056,6749974094.600359,6439947392.216467,6803357241.120266,6802914412.304202,6797528104.945404,6605399598.204144,6705951824.464006,6159299119.05412,6749175047.21944,6436947392.216402,6430563014.100389,6795352843.308889,6744732878.405399,6803395020.120999,6607896566.8187275,198486,2.2972916666670002,200330,717639563.221068,716741028.1566777,4839.67744613,4833.617830539455,123.79994,123.64493379248256,29.064194005631,0.0004677474369429536,0.0005097939484732941
622,2020-12-28,94032,1149,197473,435600,168,29221,335702,30,6097,1462682,568181,516827,473347,177159,837,321573,4767,423939,21178,108,170286,814,311344,4588,19,408756,20249,103,1614335043,6789854974.979505,0.9985237185220001,0.9699774826700001,6792179959.425,6598002127.217434,6802221953.70358,0.0,0.0,0.945853375115,9.129108712527,8.756300056768646,8.868121731856,8.505971094147009,3.6922174000872294e-05,0.9983515493863241,-0.10317190735626178,-0.24861479164837424,0.007209395416999999,6803395020.120999,6796522427.663985,2413222331.78965,6801066196.725147,6803395020.120999,6620363787.014516,6803395020.120999,6803395020.120999,6803395020.120999,2587206354.9708643,6736110080.897051,6803395020.120999,99.9657696872,6611264096.855258,6799796411.880243,6803381415.134889,6435014142.021114,6754803097.883925,6803130043.02357,6193261521.85901,6711727345.804451,6803394650.94684,6803394471.907793,6803392894.137132,6803371697.457989,6803013289.06264,6798090244.276767,6585617964.990007,6700809394.66211,6748453749.862579,6385093368.982678,6803356514.274571,6802910997.391475,6797402932.105393,6583317747.688465,6699019240.309975,6102962330.32855,6747524700.1896105,6380093368.982614,6376913259.609707,6794597338.81604,6740082825.8989105,6803395020.120999,6608896566.8187275,234492,2.7140277777780004,235954,745241976.4467447,744013481.8533341,4548.71837937,4541.220041766088,79.0,78.86977240151957,29.212460414314,0.00046448601238497354,0.0005084041668484936
623,2020-12-29,101761,903,193268,433576,139,25727,333042,28,4775,1465347,566347,515066,471437,172598,647,318926,3711,421867,17526,99,165462,632,308781,3595,19,406418,16901,97,1614335043,6794854374.683615,0.999379303273,0.9570005523109999,6797181894.173907,6508946908.922602,6801403503.065858,0.0,0.0,0.9558593162960001,5.419651276346,8.672195537419109,5.189830575646,8.304450464278286,3.668904176779762e-05,0.9990867609585041,0.2371597767708053,-0.18021562221670304,0.007134409845,6803395020.120999,6796637683.113015,3755620822.3627906,6801065373.106101,6803395020.120999,6618667612.635791,6803395020.120999,6803395020.120999,6803395020.120999,3893801755.357112,6735889462.147666,6803395020.120999,99.96575758120001,6639685895.226777,6799740659.544013,6803381376.696685,6503088512.42291,6755268735.502696,6803128531.105968,6301033425.910115,6717996243.0447,6803394650.093122,6803394471.274539,6803392887.279788,6803371619.824786,6803011879.272943,6798004478.742604,6618598324.053946,6709252943.427471,6748804301.101129,6469616875.713237,6803356170.717206,6802910428.902893,6797290874.970503,6617098206.752583,6708092898.494855,6229306920.325454,6748179283.2073145,6467616875.713237,6470616874.903236,6795188062.817428,6745657407.255922,6803395020.120999,6514896566.8187275,266831,3.0883217592589998,268628,1255319701.0689454,1254173294.1083696,5488.02816587,5483.016284288096,100.0,99.90867609585041,29.417532146326,0.0004655279088998207,0.0005295806049704644
624,2020-12-30,85091,886,194547,436676,142,25860,335088,28,4836,1469408,569582,518258,474611,174328,643,320900,3720,424916,17510,102,174376,644,320919,3725,19,425001,17535,104,1614335043,6804154124.412192,1.000248136382,0.9618575281209999,6806489497.228444,6545249048.568774,6804800978.532432,0.0,0.0,0.956324010604,5.698417871974,8.608809349245579,5.479706414013999,8.278393910018313,3.468428644029789e-05,1.00045484307442,0.5120364641564771,0.006758539223105289,0.0072141484490000005,6803395020.120999,6796598946.388577,3570442168.864942,6801060709.049971,6803395020.120999,6617675405.930886,6803395020.120999,6803395020.120999,6803395020.120999,3693519476.334861,6735530282.435505,6803395020.120999,99.9656890264,6639244213.03201,6799715613.05892,6803381356.976052,6506250011.367609,6754734611.232822,6803125834.828196,6299322987.816222,6717662967.644093,6803394650.085435,6803394470.950643,6803392886.111619,6803371555.110983,6803008598.219453,6798015092.319405,6619230243.531582,6708504119.145877,6748181824.756363,6472475384.538614,6803371640.103832,6803008788.180377,6798019891.5545435,6619330242.531582,6708554115.48437,6224485416.411018,6748206820.593504,6474475330.552373,6470475384.538614,6795025786.391928,6745135511.473571,6803395020.120999,6542273340.848727,227969,2.6385300925929998,228672,1193909462.7619045,1194452504.2125263,6569.82001236,6572.8082494928085,100.0,100.045484307442,29.627736306584,0.00047649623065527334,0.0005831260721005192
625,2020-12-31,92602,889,198985,443888,137,26968,341622,26,4923,1476364,577036,525690,481995,178242,650,327311,3817,432091,17982,94,178422,652,327376,3826,18,432218,18047,95,1614335043,6808591278.350285,1.0006737108769999,0.9830056780490001,6810946748.830619,6690691735.19641,6806361229.238174,0.0,0.0,0.955297093018,7.52235166796,8.559407215971321,7.389535991117,8.408281143574103,3.4494067755596054e-05,1.00110999415546,0.4868507120583935,0.04654367067591998,0.0073393211,6803395020.120999,6796599768.290642,2356902475.8655663,6801042161.300207,6803395020.120999,6616464386.919684,6803395020.120999,6803395020.120999,6803395020.120999,3706844773.664519,6735277742.772842,6803395020.120999,99.9654164015,6634504940.62928,6799655598.687053,6803381294.084727,6499263485.377396,6753904257.690049,6803125018.426319,6292964745.225082,6714945795.416189,6803394650.161356,6803394470.877978,6803392883.649766,6803371459.59889,6803006791.5641775,6797911929.048243,6614957998.133945,6705898607.946492,6746835496.546706,6463238462.136304,6803371586.55524,6803007441.111861,6797929916.521631,6615157996.633946,6705988584.2532215,6225122510.285665,6746900463.058846,6464238461.3263035,6469108649.588466,6794505718.419068,6743234388.932682,6803395020.120999,6683273340.848727,238084,2.7556018518519996,239118,904423951.5015496,905427856.8017741,5358.08178344,5364.029222904096,100.0,100.110999415546,29.811529587146,0.00047889168343588466,0.00059354390958691
626,2021-01-01,75953,870,200873,447753,135,26103,345006,26,4748,1480360,581158,529763,485950,179770,629,330648,3683,435905,17311,95,180059,631,330761,3694,19,436081,17398,96,1614335043,6817097438.172401,1.001504265104,0.977933306156,6819456022.585188,6658956338.702312,6809213160.839716,0.0,0.0,0.956490998672,5.162413139781,8.452060245789918,5.040912880191,8.253136315037146,3.411630585055217e-05,1.00236073348919,0.5273586603482112,0.1737464850503019,0.0074385194949999995,6803395020.120999,6796548003.439417,2324148671.1171193,6801041990.583843,6803395020.120999,6610340371.70399,6803395020.120999,6803395020.120999,6803395020.120999,3673854548.305717,6734977210.092966,6803395020.120999,99.96541389219999,6637980238.736125,6799597331.580652,6803381261.037336,6507386097.1535425,6753232493.233304,6803124350.8996105,6306488525.556945,6715877890.031028,6803394650.206485,6803394470.719718,6803392879.269454,6803371384.655346,6803005628.10661,6797823644.468371,6618148969.217189,6707101339.402289,6746316212.967972,6474139746.18263,6803371560.531739,6803006756.792525,6797852512.315583,6618348822.883333,6707211302.44602,6248124407.469705,6746403137.885614,6475139745.37263,6479049217.1889105,6794292932.153443,6743617048.819299,6803395020.120999,6643273340.848727,204263,2.3641550925929997,205961,1317871087.7854738,1320982230.196844,7946.86739764,7965.627833639761,100.0,100.23607334891899,30.041106354817,0.00048628495702556163,0.0006346802181415157
627,2021-01-02,80404,913,204296,454689,148,25265,349733,26,4924,1487492,589253,537806,493911,184228,688,337512,3925,443653,17997,108,184309,689,337548,3932,19,443756,18041,109,1614335043,7006603406.597483,1.00044519387,0.965143501531,7008959096.71629,6761641083.530554,7005840139.633039,200000000.0,200158896.551724,0.9550317047799999,5.740351016619001,8.575994073090268,5.53779708688,8.273381689998601,3.1252676218781056e-05,1.00079448275862,0.23236383407576314,-0.003517648324740105,0.007538254051,7003395020.120999,6996431990.184757,2482393117.35931,7001041200.071639,7003395020.120999,6779753765.649822,7003395020.120999,7003395020.120999,7003395020.120999,3870249153.2757773,6934633398.989898,7003395020.120999,99.9663903001,6829751792.080826,6999418824.550065,7003380600.869936,6688464285.314367,6951066136.013929,7003106852.07365,6451003258.734694,6913184326.850286,7003394650.319827,7003394470.644541,7003392875.484328,7003371283.48976,7003002926.990813,6997708785.295346,6811098859.699642,6904819306.083288,6945197479.479507,6655346559.542193,7003371386.4720745,7003003286.834971,6997716882.983871,6811198858.699642,6904889294.108594,6392456866.567152,6945241466.028463,6656346558.732194,6647149022.950202,6993681434.463061,6941777732.073357,7003395020.120999,6756273340.848727,217739,2.520127314815,218860,1220029053.945548,1220998345.993923,6752.40975471,6757.774427839256,100.0,100.079448275862,29.382581785654,0.0004988707524289481,0.0006993737844775707
628,2021-01-03,87713,909,204374,460745,135,23440,355785,27,4863,1497357,599252,547650,503666,189445,736,346198,4182,453025,19180,108,189666,739,346275,4191,22,453173,19253,110,1614335043,7811763963.46273,1.0007450721520001,0.8917213614380001,7814124400.948213,6962833835.668905,7808306649.108034,800000000.0,801099970.543544,0.9553914805120001,3.9333961253860004,9.346224118732836,3.504881958061,8.328022717652289,3.0091349211840753e-05,1.00137496317943,0.2660030120543708,0.10668235776531593,0.0072554322230000004,7803395020.120999,7796305473.169194,3277721512.057882,7801037823.6938095,7803395020.120999,7578983638.768075,7803395020.120999,7803395020.120999,7803395020.120999,4660433127.578818,7734322198.979103,7803395020.120999,99.969792681,7613998913.796247,7798910875.063531,7803377948.363849,7455297121.291143,7747247566.555458,7803085000.236235,7228222265.243492,7706410854.707416,7803394650.362847,7803394470.06235,7803392871.7698345,7803371086.532747,7803000559.552961,7797577342.064962,7598845810.662372,7700392423.01373,7743501327.733361,7431433730.792301,7803371234.467564,7803001329.003108,7797599425.943254,7599145747.623798,7700482383.909689,7182237056.321607,7743574288.399728,7433433729.644301,7423303382.725434,7792959701.443105,7738677978.067436,7803395020.120999,6953273340.848727,224331,2.5964236111109997,226025,1983882317.3077774,1986610082.4463978,10995.02801727,11010.145775950547,120.68645900000001,120.85239843738081,26.679763719548998,0.0005007155793826672,0.000700022488357212
629,2021-01-04,104462,802,208419,468987,122,24565,363301,24,4420,1509891,610574,556217,512031,193011,657,353678,3799,461238,19566,98,193098,658,353716,3805,19,461340,19625,99,1614335043,7807182003.758213,1.000401650842,0.913722296231,7809547813.354767,7132893028.058425,7806412361.259711,0.0,0.0,0.958748619611,3.234155358205,9.088068494209695,2.953933410427,8.300636855057432,3.146921135438157e-05,1.0007884764538901,0.18874226190327267,0.06739442182050799,0.007362665209,7803395020.120999,7796127221.780266,2902046159.986591,7801031074.439955,7803395020.120999,7581237489.789708,7803395020.120999,7803395020.120999,7803395020.120999,4237071704.1079063,7733246593.952047,7803395020.120999,99.96970618969999,7621726782.013609,7798817628.323105,7803377931.58818,7481494203.823313,7746429570.494598,7803082980.490254,7264134378.564389,7705214853.469029,7803394650.377245,7803394466.98262,7803392860.516107,7803371043.357506,7802998209.687669,7797442049.991961,7609139111.071111,7699723953.802106,7742033211.118152,7460796220.8562355,7803371145.340223,7802998589.521311,7797450747.531118,7609239110.071111,7699783945.269335,7218568309.875767,7742092193.603599,7461796220.046236,7462790056.046236,7792516532.270726,7737069119.195395,7803395020.120999,7127273340.848726,266856,3.088611111111,269464,2412807721.2878904,2414710163.3638897,11375.72123348,11384.690721818613,158.0,158.12457927971462,27.063810062455,0.0005019343467879257,0.0007080700532692285
630,2021-01-05,96576,834,213964,477956,124,26620,371163,24,4435,1521851,622533,565356,521091,198386,676,361434,3806,470155,20870,103,198783,683,361565,3815,20,470357,21027,104,1614335044,7824010391.953427,1.0017688202269999,0.94121106698,7826389312.959359,7353277609.677866,7812570280.619111,0.0,0.0,0.957522940855,4.895495192814,8.966014318373952,4.59955846178,8.424011341498254,2.9487006963775067e-05,1.00294670368206,0.2292367036973656,0.2436147912194117,0.007503637447,7803395020.120999,7796108887.511369,2908721221.099713,7801023088.494726,7803395020.120999,7578450890.619628,7803395020.120999,7803395020.120999,7803395020.120999,4243898953.2329845,7732548441.127139,7803395020.120999,99.9696038504,7619154555.204028,7798732439.741125,7803377870.908463,7471929748.315717,7745362125.031216,7803079937.795,7244332378.916101,7701785936.652008,7803394650.429322,7803394464.181841,7803392854.827011,7803370934.3407345,7802994210.416633,7797340556.441806,7605251028.832004,7696239455.5116205,7740309045.160873,7453203545.353183,7803371136.166152,7802995518.804005,7797380205.800047,7605950120.790355,7696329397.41465,7208019779.864101,7740465880.59818,7454203544.543182,7450150014.353183,7791826464.832881,7733968425.623243,7803395020.120999,7331673340.848726,252064,2.917407407407,254246,1593995032.7344751,1598692063.766619,8609.42802834,8634.797461611539,131.0,131.38601818234986,27.330693707809,0.0005252190690988726,0.0008060567673782071
