,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
535,2018-12-22,306,398,15005,300806,87,6405,56446,22,2326,302390,301225,300994,300148,3374,35,7631,125,20373,660,5,6595.0,96.0,15644.0,436.0,5.0,56957.0,2430.0,23.0,1614335196,829600012.376405,1.23330125,0.71619195,1118841551.766011,649723912.7593591,907192424.2736111,0,0.0,0.9842692455550001,3906.39910997,100.22821180253858,2268.49003822,58.20365344711305,0.0014789533869082425,5.86397048761981,27.56172969741481,3.2524756964639545,0.000464259047,142799314.9229082,138381051.71620587,757936.7772712356,141474111.12110496,142799314.9229082,101968188.60536405,142799314.9229082,142799314.9229082,142799314.9229082,1723186.439609047,136684601.01790062,142799314.9229082,74.148123,189392738.77528965,190757136.90546405,190799311.4849129,187797897.75161117,190710859.16665933,190773857.2186779,184206296.70243803,190429363.3440166,190799314.80897158,190799313.69246078,190799277.12861833,190763866.37488526,190727321.07978982,190567445.42211744,185859703.7888876,188309550.44707945,189738560.83722633,178776944.46675617,190773949.3608448,190758293.03816032,190714303.0122992,187960493.30325055,189462218.64766726,178776944.46675617,190448100.28891137,184396336.7484613,188021600.0452505,190768284.1352161,190531034.06347588,190799314.9229082,110799314.92340818,456,0.00527778,550,48842.7601869804,286412.504270345,121.19858709,710.7049378369792,22.902928595142946,134.3020973619821,1.6295560855660718,0.04756706401540189,0.06676629059855077
536,2018-12-23,313,399,15029,300844,87,6407,56479,22,2322,302431,301265,301032,300184,3369,35,7638,125,20406,664,5,6618.0,96.0,15806.0,447.0,5.0,57027.0,2459.0,23.0,1614335196,846442819.1825894,1.25826893,0.73069094,1141594352.1328635,662936703.8882246,907273738.0166594,0,0.0,0.9842401400380001,2225.35996515,102.2298838937078,1292.29160735,59.36604551411008,0.0015175566714875901,5.98322060309538,18.398367914201312,8.88401074573446,0.000465075777,142799308.24249858,138365076.59674564,746987.089579527,141469431.82149896,142799308.24249858,101967144.2698665,142799308.24249858,142799308.24249858,142799308.24249858,1681468.6989201377,136685869.28160763,142799308.24249858,74.145673,189392516.97577056,190757116.2033475,190799304.79409373,187792337.86377987,190710696.8498376,190773849.9881357,184163018.4764606,190428921.7468099,190799308.12813988,190799307.00164163,190799270.35084358,190763856.60701504,190727233.97097972,190566810.32632774,185816425.5629101,188304945.87804297,189742698.4035114,178776944.46675617,190773948.40834576,190758505.9587961,190714498.68500993,187955839.4154192,189479082.25473276,178776944.46675617,190453241.93520188,184353058.52248392,188016946.15741926,190768268.21007466,190531085.43985155,190799308.24249852,110799308.24299856,415,0.00480324,496,85738.6271123621,512993.12021979695,184.69800533,1105.0889108410765,12.663999995,75.77150568768377,1.6292952580348152,0.04743008532568141,0.06653624443264564
537,2018-12-24,373,402,15053,300900,88,6419,56532,22,2328,302498,301324,301089,300239,3377,35,7648,126,20438,666,5,6658.0,97.0,15944.0,454.0,5.0,57092.0,2499.0,23.0,1614335196,865838559.0387571,1.28900754,0.7485411999999999,1167755367.4785216,678128700.284508,905933696.5580318,0,0.0,0.984200191286,722.98728573,104.67164090922465,419.84686352,60.78400132699438,0.0015149168248843885,6.12033333996342,14.075158775832513,22.426743634143413,0.000465266051,142799308.24249858,138359856.99059984,1080283.842217802,141469183.2853555,142799308.24249858,102339274.60885969,142799308.24249858,142799308.24249858,142799308.24249858,2054807.1253529186,136681951.39993563,142799308.24249858,74.145543,189390261.6234939,190757092.8514634,190799304.7767789,187784715.669525,190710661.0859616,190773849.56455144,184068520.46139553,190428438.87325263,190799308.12726957,190799306.9982867,190799270.27180752,190763843.52205208,190727157.78585768,190566646.239662,185721927.5478451,188297150.16437817,189740321.05403572,178776944.46675617,190773949.99705186,190758671.7471288,190714922.63405427,187948217.22116432,189483757.29015166,178776944.46675617,190458394.91830617,184258560.5074188,187994324.18316433,190768253.9109815,190530033.99287105,190799308.24249852,110799308.24299856,526,0.00608796,598,263904.09901885776,1615181.0557781225,568.74985205,3480.9386816008778,17.0,104.04566677937815,1.6297623986219207,0.04746912064939442,0.06401273982303649
538,2018-12-25,239,403,15106,300963,90,6441,56597,22,2330,302563,301387,301152,300304,3382,35,7678,126,20492,666,5,6517.0,93.0,15354.0,423.0,5.0,56633.0,2364.0,23.0,1614335197,773155627.1211308,1.15166913,0.66878724,1042798008.9694457,605564554.1656903,905466664.2676647,0,0.0,0.98433873986,1588.65775744,93.5145926540557,922.55146091,54.30497768643003,0.0014529565654711333,5.4654181850810994,-18.17046184722872,7.924895011428687,0.00046652584000000003,142799308.24249858,138341589.39843866,1296340.5089883504,141463214.8792578,142799308.24249858,102337710.0268405,142799308.24249858,142799308.24249858,142799308.24249858,1944678.4070906625,136680834.84889156,142799308.24249858,74.142415,189391152.85562682,190757086.54834548,190799304.77662757,187811150.64150158,190710421.66839164,190773849.57064512,184088807.08011824,190427241.68796894,190799308.12711823,190799306.99813536,190799270.35471326,190763837.9265388,190727027.7744524,190565787.62016487,185742214.1665678,188295571.1363547,189737912.72137806,178776944.46675617,190773856.34141466,190757550.3680635,190711846.22843754,187867013.24597004,189428632.35524696,178776944.46675617,190433602.12067652,184278847.1261416,187987779.87514088,190768236.52850404,190528726.27101943,190799308.24249852,110799308.24299856,298,0.00344907,329,120100.9514788464,656401.9242580299,438.15730415,2394.7128980275206,22.647731481773963,123.77932349132114,1.6295164182943893,0.048153522823530616,0.06763097409896761
539,2018-12-26,258,404,15108,300974,90,6440,56605,22,2331,302579,301401,301162,300311,3388,35,7675,126,20500,667,5,6574.0,97.0,15561.0,435.0,5.0,57099.0,2398.0,23.0,1614335197,797987910.146046,1.18844468,0.69014322,1076353474.0209134,625050590.8275704,905682435.1621636,0,0.0,0.984317453089,3000.92994482,96.59218854586672,1742.67383375,56.09217229947738,0.001481563430742259,5.64128603995204,-37.70995019475929,17.07677591213331,0.000466618372,142799308.24249858,138339034.9092366,1132633.0396879355,141454963.37087536,142799308.24249858,102336941.4778565,142799308.24249858,142799308.24249858,142799308.24249858,1839191.8249076486,136682754.30678964,142799308.24249858,74.13809,189390560.6526149,190757078.17831132,190799304.76620835,187807089.14040112,190710404.31567743,190773849.57212532,184113750.26709095,190426563.52552444,190799308.1267682,190799306.97771615,190799270.22619343,190763838.00835887,190727009.62436476,190565863.03693798,185767157.35354042,188291509.59047633,189736536.47267303,178776944.46675617,190773938.77993733,190757910.8677821,190712873.9108035,187935011.3498405,189447764.55452034,178776944.46675617,190438873.37946343,184303790.31311417,187983718.37404042,190768234.42998415,190528132.0029565,190799308.24249852,110799308.24299856,300,0.00347222,318,63580.0607647899,358673.3092117117,272.00147541,1534.438126076791,20.0,112.8257207990408,1.6278974827311017,0.048130191983036016,0.06709245988945242
540,2018-12-27,245,404,15135,301018,90,6445,56646,22,2333,302626,301445,301206,300355,3392,35,7686,125,20533,667,5,6428.0,88.0,15101.0,402.0,5.0,56640.0,2328.0,22.0,1614335197,732779209.6868482,1.09213921,0.63421754,988517547.6721563,574043278.6524345,905120464.4206649,0,0.0,0.9843143419939999,2361.5433335000002,90.00513360953897,1371.37482388,52.26699527432724,0.0014449826767971956,5.180928362778911,-47.207921821556,6.663432515753349,0.00046741892999999996,142799308.24249858,138263054.2390113,945448.304989541,141437819.3204365,142799308.24249858,102354497.39911409,142799308.24249858,142799308.24249858,142799308.24249858,1898468.7751344508,136673748.85502878,142799308.24249858,74.12910500000001,189387450.87070188,190757066.2763809,190799304.76564944,187806495.54563,190710252.10086277,190773849.05486336,184075352.44609463,190426010.97772896,190799308.12620932,190799306.9771573,190799270.2534795,190763834.76869285,190726927.09448192,190565496.61534756,185728759.53254417,188279409.46596476,189733405.96934402,178776944.46675617,190773847.90147218,190757001.00770727,190709926.03391105,187768230.66214693,189383604.81883225,178776944.46675617,190425049.60510826,184075352.44609463,187983124.7792693,190768223.17295828,190527460.2417267,190799308.24249852,110799308.24299856,285,0.00329861,306,80794.32866458117,418589.6289300097,291.45243819999996,1509.9942034714472,16.4875221,85.4206708798341,1.626484902182175,0.04849227625890108,0.06908584161639299
541,2018-12-28,279,404,15151,301055,89,6454,56678,22,2330,302671,301484,301243,300391,3395,35,7695,124,20553,668,5,6660.0,97.0,15909.0,451.0,5.0,57222.0,2460.0,23.0,1614335197,838123589.5287082,1.24935013,0.7255117,1130886220.9380107,656718371.4430306,905179575.3193145,0,0.0,0.9843112629459999,1300.23283679,105.47541606153912,755.05985948,61.250762614965964,0.0015271873999622811,5.9270981187243,-35.72798138399861,12.860717779352026,0.00046760188199999994,142799308.24249858,138304870.62706763,745560.1709687798,141405384.68242854,142799308.24249858,3486234.745049168,142799308.24249858,142799308.24249858,142799308.24249858,1697620.5893696088,128563836.6856017,142799308.24249858,74.11210600000001,189387160.8400139,190757051.13042286,190799304.752376,187805908.06533164,190710217.45197544,190773848.37969956,184066417.73582926,190425141.76852867,190799308.1269146,190799306.96388367,190799270.19911927,190763826.90811563,190726904.99623162,190565379.54820082,185721164.8222789,188278824.05971348,189734671.03989884,178776944.46675617,190773946.20143044,190758409.90696493,190713933.05374596,187951430.61697096,189471892.73231912,178776944.46675617,190448295.3960161,184256457.78185254,187997537.57897094,190768214.48791727,190527014.49806845,190799308.24249852,110799308.24299856,362,0.00418981,394,146742.41631512472,869756.6996784332,428.74141324,2541.1924238340016,13.0,77.0522755434159,1.6266732103827712,0.049599539501755587,0.07193670008913915
542,2018-12-29,247,405,15166,301094,90,6453,56715,22,2328,302712,301521,301282,300429,3392,35,7698,125,20575,667,5,6639.0,98.0,15794.0,444.0,5.0,57231.0,2428.0,23.0,1614335197,825947771.8056581,1.23130118,0.71503047,1114522822.628864,647215961.6604235,905158576.898086,0,0.0,0.9843300218459999,2098.20845427,104.04428967104494,1218.45329223,60.41969139392399,0.0015278902471892713,5.84133576214201,-33.621851563477165,10.367939362583805,0.00046818395400000004,142799308.24249858,138306690.40173313,919275.8079512152,141397071.7380547,142799308.24249858,3458167.6399772284,142799308.24249858,142799308.24249858,142799308.24249858,1660585.1948784704,112565077.46208292,142799308.24249858,74.107749,189390636.6039372,190757032.30957982,190799304.7575849,187809487.25048038,190710106.40526447,190773848.14888602,184057815.0042921,190425173.56179684,190799308.12613878,190799306.96909285,190799270.17952836,190763819.39867413,190726849.1631452,190565254.2511375,185713862.09074172,188282479.81227535,189735907.11729208,178776944.46675617,190773941.21142846,190758170.41243434,190713483.4755779,187955009.80211964,189461805.68626755,178776944.46675617,190443226.21478292,184247855.05031553,187986116.48411965,190768204.5537065,190527326.98566052,190799308.24249852,110799308.24299856,296,0.00342593,320,90934.39112501877,531178.3108871813,335.46979546,1959.5917133389632,22.712010060374304,132.66847659579355,1.626734871178315,0.049582593195243364,0.07201233578231205
543,2018-12-30,260,404,15188,301134,89,6459,56752,22,2324,302754,301564,301323,300467,3388,35,7706,126,20606,667,5,6666.0,97.0,15949.0,450.0,5.0,57297.0,2451.0,23.0,1614335197,837459797.8768977,1.24849658,0.72501604,1130114290.2049909,656270102.5681696,905180121.325264,0,0.0,0.984266627334,2991.21501948,105.49045143527019,1737.03226713,61.25949382591174,0.0015483454776937429,5.92305234549729,-25.42614188557925,17.899406981449715,0.000468906716,142799308.24249858,138301571.95681998,926218.1705050858,141389903.2166305,142799308.24249858,3445358.32380707,142799308.24249858,142799308.24249858,142799308.24249858,1664630.8981216901,112568250.11418548,142799308.24249858,74.103992,189391086.0450394,190757014.33897042,190799304.73623425,187797391.6214177,190709968.72132027,190773847.84492576,184082840.41984358,190424734.07847643,190799308.12591037,190799306.95774212,190799270.04480314,190763814.95899063,190726748.91188627,190564736.37952134,185740187.5062931,188293383.68321264,189738353.92008933,178776944.46675617,190773945.8358916,190758378.75872567,190713703.86683625,187942914.17305693,189474244.42460707,178776944.46675617,190447354.9803405,184272880.4658669,187989021.135057,190768194.45339647,190527279.919306,190799308.24249852,110799308.24299856,295,0.00341435,316,63786.557302035144,377811.1178390166,262.5371333,1555.0211831726995,20.5,121.42257308269444,1.6264319758463601,0.04956184918219657,0.0712655711066424
544,2018-12-31,310,404,15219,301174,90,6460,56790,21,2320,302799,301606,301363,300506,3381,35,7720,125,20641,665,5,6688.0,98.0,16085.0,452.0,5.0,57354.0,2477.0,23.0,1614335197,857696800.9077783,1.27844525,0.74240756,1157458618.129854,672149261.9128872,905364247.1549947,0,0.0,0.984406324271,1137.99298094,107.97661171080485,660.84534705,62.70323511222896,0.0016452503393662324,6.06636695275,-29.92189755875133,16.42635581913471,0.000470148668,142799308.24249858,138320252.92116097,1178518.2348563457,141385578.48350534,142799308.24249858,3458204.2344362885,142799308.24249858,142799308.24249858,142799308.24249858,1704891.500679091,112589453.34663379,142799308.24249858,74.101725,189394835.2745311,190757007.65614003,190799304.72524574,187824045.7004463,190709732.0298446,190773847.651479,183952696.07211235,190424519.92892674,190799308.1266639,190799306.94675362,190799269.93381462,190763812.51465723,190726674.2841411,190564107.39084077,185754773.00866297,188298611.69584808,189739135.7269789,178776944.46675617,190773948.82326144,190758546.70854804,190713812.30446607,187969568.25208554,189481262.6731309,178776944.46675617,190452151.17690164,184310002.0181357,188000674.93408558,190768184.01167044,190527419.97965333,190799308.24249852,110799308.24299856,415,0.00480324,458,167662.99216124546,1017105.2348461617,504.39365368,3059.83699186118,23.064622676673316,139.91846478341924,1.6227885077863384,0.04960402093384221,0.07111383696384654
545,2019-01-01,208,404,15247,301221,90,6470,56832,21,2324,302850,301654,301409,300551,3387,35,7735,125,20676,666,5,6684.0,98.0,16053.0,451.0,5.0,57390.0,2470.0,23.0,1614335197,848014741.9774688,1.26412539,0.73409186,1144424712.565332,664580326.0841571,905309493.6335676,0,0.0,0.984406622206,6102.045988899999,106.91192309166486,3543.52686425,62.08495843407158,0.001575070703211457,5.99805483105218,-28.807005545248717,15.660451369125127,0.00047098038,142799308.24249858,138320696.17279795,1206641.3819126817,141381625.5208708,142799308.24249858,3452760.3629239644,142799308.24249858,142799308.24249858,142799308.24249858,1305940.3798423698,112559483.37714106,142799308.24249858,74.099653,189390910.9729639,190756993.27845022,190799304.73747814,187824102.54619047,190709574.05314246,190773847.08498728,183966941.8260403,190423770.51205337,190799308.12682992,190799306.94168606,190799269.8126885,190763807.80326167,190726591.9677952,190563631.0355081,185769018.76259091,188296963.54159233,189736568.2091282,178776944.46675617,190773947.2623698,190758433.06473,190713422.29615098,187969625.0978298,189475572.96253157,178776944.46675617,190449596.4156558,184324247.7720636,188000731.77982983,190768172.83517873,190526385.3202004,190799308.24249852,110799308.24299856,253,0.00292824,292,31268.087554483598,187547.70361393288,159.57147163,957.1184363084269,16.725899585315744,100.32286281139673,1.6209346752792095,0.049596550586226966,0.07115537943705988
