,time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
816,2020-01-02,67046.0,1614335630.0,28789.0,1278995.27932024,1382048.0,504.44752,1.382048,17676.32867793979,1382048.0,17676.32867793979,1.841121994246474e-06,0.0127899527932024,-36.242326986043956,-15.994687635327956,0.0131604972071005,1.8353329870943298e-06,0.00010126273299461099,0.011748084807142999,0.0131604972071005,100000000.0,1125011.0,13.02096065,66868.0,478502408.22397983,6120023.212618364,8237.57166148,105.35815268095105,10.911008,0.1395512772462537,0.05160448914982565,0.03782938766264229
817,2020-01-03,73706.0,1614335630.0,28787.0,1339861.2200765,1381984.0,504.42416,1.381984,18516.667683662017,1381984.0,18516.667683662017,1.8315851785367214e-06,0.013398612200764999,-32.3492301518995,-6.294151349677942,0.0127899527932024,1.8411219942464699e-06,0.000100922151718201,0.0114648410260338,0.0127899527932024,100000000.0,1049886.0,12.15145833,75358.0,500677825.43012106,6708388.02046051,7673.73710948,102.8174276605419,8.0,0.10718889760611999,0.051251121443352116,0.03741262807378765
818,2020-01-04,68675.0,1614335630.0,28790.0,1342373.73222459,1382080.0,504.4592,1.38208,18552.678878329618,1382080.0,18552.678878329618,1.8280589902242253e-06,0.0134237373222459,-37.08817963167647,-7.602672345439112,0.013398612200764999,1.8315851785367199e-06,0.000100138530530436,0.0120123126311315,0.013398612200764999,100000000.0,979002.0,11.33104167,69214.0,485878245.62957627,6522301.939925104,7672.19818848,102.98957316636641,11.0,0.1476611105447049,0.051218412822860916,0.037265798647729616
819,2020-01-05,63496.0,1614335630.0,28790.0,1350310.66884121,1382080.0,504.4592,1.38208,18662.37369192059,1382080.0,18662.37369192059,1.838275170976212e-06,0.0135031066884121,-38.69874250413178,-8.225128792747824,0.0134237373222459,1.8280589902242298e-06,0.000100139517735368,0.0120386372350473,0.0134237373222459,100000000.0,976978.0,11.30761574,67652.0,748912320.8886652,10112642.969225965,11791.77670042,159.2256188317033,11.125084,0.15022319616954646,0.05121384042966096,0.03719051979621831
820,2020-01-06,67492.0,1614335630.0,28791.0,1456379.57743031,1382112.0,504.47087999999997,1.382112,20128.796905213607,1382112.0,20128.796905213607,1.8753766543913585e-06,0.0145637957743031,-36.19712114657139,0.3022442747526951,0.0135031066884121,1.83827517097621e-06,0.000100036219444488,0.0121115444304355,0.0135031066884121,100000000.0,951817.0,11.01640046,72568.0,1045102164.3588351,15220654.485004226,15629.643271899999,227.62693263716207,10.0,0.145637957743031,0.051340414366304286,0.03978361555442776
821,2020-01-07,64129.0,1614335631.0,28781.0,1435347.56615606,1381792.0,504.35407999999995,1.381792,19833.51784133914,1381792.0,19833.51784133914,1.7641743433258737e-06,0.0143534756615606,-38.36537541271451,-1.9522416966753184,0.0145637957743031,1.87537665439136e-06,0.000101145320599768,0.0130204021954552,0.0145637957743031,100000000.0,853209.0,9.87510417,63738.0,666485488.1321808,9566383.232688596,11990.51833229,172.10561305202071,12.724652,0.18264298278382843,0.05028728628711025,0.03984074871481382
822,2020-01-08,64750.0,1614335631.0,28789.0,1402987.48951714,1382048.0,504.44752,1.382048,19389.960539121843,1382048.0,19389.960539121843,1.7407441611083164e-06,0.0140298748951714,-46.240910043434226,-2.284250797303286,0.0143534756615606,1.76417434332587e-06,0.000100199513438538,0.012874669906021999,0.0143534756615606,100000000.0,814207.0,9.42369213,65405.0,661617317.146286,9282408.188041333,11743.16988618,164.75520437584962,11.0,0.1543286238468854,0.05006174696196268,0.039900574446977206
823,2020-01-09,76234.0,1614335631.0,28792.0,1398199.07784576,1382144.0,504.48256,1.382144,19325.124662500497,1382144.0,19325.124662500497,1.7886334089263112e-06,0.0139819907784576,-50.4408930506186,-0.8002979656929574,0.0140298748951714,1.7407441611083198e-06,9.959272735438991e-05,0.0126380203345386,0.0140298748951714,100000000.0,886417.0,10.25945602,64903.0,492689472.40353,6888779.659789297,8302.8281784,116.09006702550671,11.974755,0.16743091398428903,0.04998663620668,0.03976440661393856
824,2020-01-10,64005.0,1614335631.0,28791.0,1464779.01678776,1382112.0,504.47087999999997,1.382112,20244.886564505647,1382112.0,20244.886564505647,1.8017365594337882e-06,0.0146477901678776,-42.69645348240762,3.717780578815713,0.0139819907784576,1.78863340892631e-06,0.00010170668592063399,0.0125995089493192,0.0139819907784576,100000000.0,876009.0,10.13899306,73195.0,667650878.2952558,9779609.97066809,11118.77109788,162.86542596640828,8.823830000000001,0.1292496103170234,0.049530368844510335,0.04067232188099788
825,2020-01-11,233739.0,1614335631.0,28787.0,1460497.05144973,1381984.0,504.42416,1.381984,20183.83557150704,1381984.0,20183.83557150704,1.8183466786135258e-06,0.0146049705144973,-40.97444795671893,6.218980112229272,0.0146477901678776,1.80173655943379e-06,0.000101869748900938,0.0131740497847745,0.0146477901678776,100000000.0,1085125.0,12.55931713,71242.0,575203538.0944915,8400830.713704575,9082.77600223,132.65367570235279,5.0,0.0730248525724865,0.04952860506324297,0.040338490652950615
826,2020-01-12,62371.0,1614335631.0,28792.0,1498047.77712813,1382144.0,504.48256,1.382144,20705.177468709826,1382144.0,20705.177468709826,1.8348197737570347e-06,0.0149804777712813,-35.40718504719082,6.414639097901715,0.0146049705144973,1.81834667861353e-06,0.000102242715368263,0.0131377446148976,0.0146049705144973,100000000.0,881105.0,10.19797454,63880.0,566555250.7751784,8487268.340440262,9973.45063833,149.40705559047387,9.596336,0.14375769813374648,0.04793310732888016,0.04037375242477705
827,2020-01-13,64371.0,1614335631.0,28791.0,1467100.00180955,1382112.0,504.47087999999997,1.382112,20276.965177010006,1382112.0,20276.965177010006,1.8063450243804442e-06,0.0146710000180955,-30.18595698087541,5.9423306005391785,0.0149804777712813,1.83481977375703e-06,0.000102996038370937,0.0134758844348505,0.0149804777712813,100000000.0,864325.0,10.00376157,65946.0,613642077.714881,9002742.933259184,10409.50942851,152.71791301403547,10.0,0.14671000018095498,0.047667073770893575,0.040452127219966785
828,2020-01-14,85811.0,1614335631.0,28790.0,1676246.23116007,1382080.0,504.4592,1.38208,23167.06391161709,1382080.0,23167.06391161709,1.898317512396453e-06,0.0167624623116007,-34.15051381790026,20.2868420714199,0.0146710000180955,1.8063450243804402e-06,0.000101945503195492,0.0131934252836222,0.0146710000180955,100000000.0,963372.0,11.15013889,70671.0,1133850928.6639814,19006133.458703455,19042.83120669,319.2047404083148,11.03144,0.18491409724268443,0.047822284722639136,0.04703259252423599
829,2020-01-15,70608.0,1614335631.0,28790.0,1728598.22764562,1382080.0,504.4592,1.38208,23890.610384644584,1382080.0,23890.610384644584,1.9617640459517198e-06,0.0172859822764562,-29.06426286596416,29.17907969085589,0.0167624623116007,1.89831751239645e-06,0.000100949512442863,0.0150687723183458,0.0167624623116007,100000000.0,827114.0,9.5730787,75368.0,1427653830.105396,24678398.80411669,22125.637006,382.4633691410193,13.718836999999999,0.2371435732355916,0.04747353572005667,0.046387516791653316
830,2020-01-16,64653.0,1614335631.0,28783.0,1717558.05808897,1381856.0,504.37744000000004,1.381856,23734.17907918592,1381856.0,23734.17907918592,1.969973298135868e-06,0.0171755805808897,-31.21369634690289,38.474779721277436,0.0172859822764562,1.96176404595172e-06,0.000104224228969901,0.0155208655958766,0.0172859822764562,100000000.0,841255.0,9.73674769,67874.0,736682304.2004062,12652946.278309574,12260.34259451,210.57850218132074,9.957848,0.17103182073625134,0.047279178453286115,0.04368227683997571
831,2020-01-17,83465.0,1614335631.0,28789.0,1769348.32853142,1382048.0,504.44752,1.382048,24453.24318750192,1382048.0,24453.24318750192,1.985234232343551e-06,0.0176934832853142,-29.681088000344893,32.13958510035108,0.0171755805808897,1.96997329813586e-06,0.00010469535801685301,0.0154269255419543,0.0171755805808897,100000000.0,924606.0,10.70145833,78788.0,984212856.9935672,17414153.73440701,14296.25506062,252.95054995766844,11.0,0.1946283161384562,0.047334811599579696,0.0420606577502396
832,2020-01-18,87619.0,1614335631.0,28790.0,1769777.88651377,1382080.0,504.4592,1.38208,24459.746213929513,1382080.0,24459.746213929513,1.98223796624013e-06,0.0176977788651377,-27.91042243333882,36.3131891075631,0.0176934832853142,1.98523423234355e-06,0.000103449850108912,0.0159510965359873,0.0176934832853142,100000000.0,987244.0,11.42643519,114309.0,629408996.912528,11139141.243086057,6524.56091828,115.47023632383917,13.340311999999999,0.23609389176794285,0.04693074507447685,0.04141547692226195
833,2020-01-19,65619.0,1614335631.0,28791.0,1660454.33785711,1382112.0,504.47087999999997,1.382112,22949.33865804366,1382112.0,22949.33865804366,1.911346283281691e-06,0.0166045433785711,-31.77229826751762,23.838900283661452,0.0176977788651377,1.9822379662401297e-06,0.000101086854497323,0.0159550385336153,0.0176977788651377,100000000.0,861140.0,9.96689815,65797.0,757924783.1670327,12584994.939791093,13888.13266079,230.6061012134376,11.0,0.1826499771642821,0.046482971392802656,0.043329219107158916
834,2020-01-20,84342.0,1614335631.0,28790.0,1661019.80412476,1382080.0,504.4592,1.38208,22956.622508847486,1382080.0,22956.622508847486,1.923309439010327e-06,0.0166101980412476,-29.56814947938408,23.049707059912052,0.0166045433785711,1.91134628328169e-06,9.9552502846739e-05,0.014989859873096,0.0166045433785711,100000000.0,895256.0,10.36175926,78504.0,558455025.4435022,9276048.569746539,8022.780178100001,133.25996759963667,2.507846,0.04165581871695063,0.04648063038712578,0.043346938702055984
835,2020-01-21,66690.0,1614335631.0,28792.0,1726150.55235247,1382144.0,504.48256,1.382144,23857.886290306516,1382144.0,23857.886290306516,1.9770664718606538e-06,0.0172615055235247,-31.85941728373681,15.724496906101255,0.0166101980412476,1.92330943901033e-06,9.95055152245385e-05,0.0149896299549094,0.0166101980412476,100000000.0,824455.0,9.54230324,67800.0,527958350.883841,9113355.989972414,9637.46176001,166.35709940317068,10.0,0.17261505523524698,0.04651619584165507,0.04013965686815103
836,2020-01-22,79704.0,1614335631.0,28768.0,1727500.02902175,1381376.0,504.20224,1.381376,23863.27080089949,1381376.0,23863.27080089949,1.997594715870205e-06,0.0172750002902175,-34.321984976172516,25.3618177625452,0.0172615055235247,1.97706647186066e-06,0.00010203543922533001,0.0155783594894978,0.0172615055235247,100000000.0,946288.0,10.95240741,63875.0,481624669.66714764,8320066.308275887,8406.11047778,145.21556094324987,11.0,0.1900250031923925,0.04651055162503626,0.036886971409188514
837,2020-01-23,83107.0,1614335631.0,28792.0,1618889.72444515,1382144.0,504.48256,1.382144,22375.387193035167,1382144.0,22375.387193035167,1.934993188984244e-06,0.0161888972444515,-38.40415917462882,20.045708693840385,0.0172750002902175,1.9975947158702e-06,0.000103106490555907,0.0155866345733731,0.0172750002902175,100000000.0,966343.0,11.18452546,66782.0,493224167.31140935,7984755.363084563,8575.35343835,138.82551564830197,9.805019999999999,0.15873246125979185,0.046562171861388016,0.03886271340364218
838,2020-01-24,92454.0,1614335631.0,28792.0,1634822.70707835,1382144.0,504.48256,1.382144,22595.603956520987,1382144.0,22595.603956520987,1.940813046907172e-06,0.0163482270707835,-38.72951514856339,23.927675085395066,0.0161888972444515,1.93499318898424e-06,9.983500315293399e-05,0.0146495518430475,0.0161888972444515,100000000.0,1048658.0,12.13724537,85763.0,470950560.78521854,7699206.7068295805,6301.46064773,103.01770954669654,2.0992610000000003,0.034319195508840036,0.04654289328290949,0.03850128629269933
839,2020-01-25,86798.0,1614335631.0,28791.0,1612945.77794599,1382112.0,504.47087999999997,1.382112,22292.717150484885,1382112.0,22292.717150484885,1.932881187641169e-06,0.0161294577794599,-39.07270695475482,20.991207704307413,0.0163482270707835,1.94081304690717e-06,0.000100760985106321,0.0148318183396554,0.0163482270707835,100000000.0,888912.0,10.28833333,78957.0,350264427.82123834,5649575.300189344,5006.83162168,80.75747925075231,3.5857949999999996,0.05783692905829841,0.046539449438357916,0.03867771177002985
840,2020-01-26,76846.0,1614335631.0,28792.0,1675695.19262759,1382144.0,504.48256,1.382144,23160.52056319068,1382144.0,23160.52056319068,1.954419944124062e-06,0.0167569519262759,-41.0028260915599,26.879841681568646,0.0161294577794599,1.9328811876411703e-06,0.000100481631954654,0.0146546688865715,0.0161294577794599,100000000.0,831260.0,9.62106481,74032.0,423138778.6064442,7090516.171251287,6581.96958108,110.29374785036788,19.896162,0.3333990301513973,0.04663152431631712,0.03898413413472779
841,2020-01-27,65834.0,1614335631.0,28790.0,1708012.14111244,1382080.0,504.4592,1.38208,23606.094199886807,1382080.0,23606.094199886807,1.918692375977086e-06,0.0170801214111244,-41.04315334902929,26.53676369873809,0.0167569519262759,1.95441994412407e-06,0.000100245518345119,0.0152063642114199,0.0167569519262759,100000000.0,1022327.0,11.83248843,67526.0,495598263.99883497,8464878.520242583,8696.83259702,148.5429566493259,10.775819,0.18405229682430116,0.04664453405031279,0.03895402874304915
842,2020-01-28,67806.0,1614335631.0,28792.0,1857001.75007663,1382144.0,504.48256,1.382144,25666.438268579135,1382144.0,25666.438268579135,1.9973369796238697e-06,0.0185700175007663,-30.515701403655573,35.3208011136161,0.0170801214111244,1.91869237597708e-06,0.000100510138544875,0.015494826055652,0.0170801214111244,100000000.0,1296099.0,15.00114583,71907.0,828338331.0577973,15382257.30429884,14042.57701027,260.7709008365724,13.08029,0.2429012142150984,0.04706778894117336,0.041324401120949435
