,time,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,CapMrktFFUSD,DiffLast,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxTfrCnt,VtyDayRet180d,VtyDayRet30d
310,2019-11-21,1614335728.0,1431.0,31651782.486377597,31651782.486377597,2235621265.0,2224487286.095039,0.007982701812191104,0.009462089416459573,0.008,0.009482593376602559,19.382,22.973953103163847,85860.0,117.36063999999999,0.321536,101771.93341438695,85860.0,101771.93341438695,0.0001557121602491441,1.18532417207532,,12.591008351100585,1.1811492694176398,0.00014624419930635,0.00677226743510598,1.06708303357177,1.1811492694176398,73153016.41116555,85879.382,101794.90736749012,26703060.0,342063060.0,2428.0,0.02810185,5273.0,0.07673919276667476,0.09017525538478743
311,2019-11-22,1614335728.0,1443.0,30292475.35091965,30292475.35091965,2256849546.0,2052423664.716563,0.007900896860986547,0.00893396564536117,0.008,0.00904602685244584,17.619,19.922743389155407,86580.0,117.962525,0.323185,97900.6256105951,86580.0,97900.6256105951,0.0001553761023807001,1.13075335655573,,13.149663262617874,1.0790261832655699,0.000141748141073929,0.006713355420675021,0.976693403191725,1.0790261832655699,73250936.95951954,86597.619,97920.54835398427,26789640.0,342149640.0,2230.0,0.02581019,4876.0,0.07675318996541126,0.09007366954548028
312,2019-11-23,1614335728.0,1433.0,34612196.62343548,34612196.62343548,2311491575.0,2095266522.0655968,0.007932507475437847,0.010216006494240003,0.008,0.01030292782036224,18.57,23.915671203015847,85980.0,116.77006999999999,0.319918,110730.71674934316,85980.0,110730.71674934316,0.00017582181309618356,1.28786597754528,,45.92885569247817,0.9968967262704641,0.000136982947612723,0.006655910458490629,0.9067459981171541,0.9968967262704641,73361691.59194008,85998.57,110754.63242054619,26875620.0,342235620.0,2341.0,0.02709491,5124.0,0.07738805566196692,0.08954035456789028
313,2019-11-24,1614335728.0,1422.0,31065673.555991836,31065673.555991836,2097888901.0,2143528859.8438816,0.007985769728331177,0.009201582566247984,0.008,0.0092179793600644,18.519000000000002,21.338469971129083,85320.0,115.50717,0.316458,98309.74987508681,85320.0,98309.74987508681,0.00016594904947407846,1.1522474200080501,,10.382807050179457,1.06680701099664,0.000145642439638525,0.0070033980635426105,0.970009087813053,1.06680701099664,73460022.68028513,85338.519,98331.08834505793,26960940.0,342320940.0,2319.0,0.02684028,5085.0,0.0777844397383661,0.0873235393691677
314,2019-11-25,1614335728.0,1441.0,32110498.17841325,32110498.17841325,2455521444.0,2151629999.8188763,0.007947528517110267,0.009435254404177723,0.008,0.0094975482089704,20.901999999999997,24.81471908298741,86460.0,116.67626499999999,0.31966100000000003,102644.75226844761,86460.0,102644.75226844761,0.00016629585306475418,1.1871935261213,,10.720139534615242,0.979996736271639,0.00014114115080495602,0.00692202384538515,0.890423426286833,0.979996736271639,73562692.24727266,86480.90199999999,102669.56698753056,27047400.0,342407400.0,2630.0,0.03043981,5761.0,0.07782583504697041,0.08735366783792499
315,2019-11-26,1614335728.0,1414.0,35742669.01113529,35742669.01113529,2155654711.0,2198934226.255305,0.007835593220338983,0.010322222381214078,0.008,0.01053880372903536,18.492,24.360444819665236,84840.0,114.13221499999999,0.312691,111764.01354642,84840.0,111764.01354642,0.00018384787025131524,1.31735046612942,,5.839195487251688,1.05178248597274,0.000147328183564853,0.007176353696006041,0.956200808971592,1.05178248597274,73674480.62126389,84858.492,111788.37399123966,27132240.0,342492240.0,2360.0,0.02731481,5037.0,0.07824103577269878,0.08511949781229132
316,2019-11-27,1614335728.0,1443.0,34777294.86774712,34777294.86774712,2139241808.0,2077880250.6798337,0.008061396468699841,0.010299989567431271,0.008,0.0102215437312116,20.089000000000002,25.667574002038727,86580.0,116.10248500000002,0.318089,110622.65703103754,86580.0,110622.65703103754,0.00016975104074472042,1.2776929664014498,,7.455598490555134,1.06741150929424,0.000148966685563998,0.007215024607821709,0.9705544977886899,1.06741150929424,73785128.94586892,86600.089,110648.32460503958,27218820.0,342578820.0,2492.0,0.02884259,5479.0,0.07826573600149198,0.08487175507158626
317,2019-11-28,1614335728.0,1438.0,33191576.08267223,33191576.08267223,2200023233.0,2104123062.8838663,0.0075620744893872644,0.009192318312598457,0.008,0.00972465248841344,37.765,45.9064376531167,86280.0,115.334525,0.315985,104880.37708753896,86280.0,104880.37708753896,0.00016346511220794325,1.21558156105168,,5.5454316999663735,1.08916069712835,0.00014470312253225,0.007107162290663809,0.9901158249990558,1.08916069712835,73890055.22939412,86317.765,104926.28352519208,27305100.0,342665100.0,4994.0,0.05780093,10612.0,0.07832794006752472,0.08518426884753963
318,2019-11-29,1614335728.0,1437.0,36884334.255254395,36884334.255254395,2270939013.0,2130245601.2386923,0.008238187451587916,0.01109329742494378,0.008,0.010772561309277359,21.271,28.64289395120484,86220.0,114.891415,0.314771,116101.27951073674,86220.0,116101.27951073674,0.00017380171559053484,1.34657016365967,,37.396845871557424,1.0637586072107,0.000143048747744595,0.00704427417131972,0.9677250746357621,1.0637586072107,74006185.15179881,86241.271,116129.92240468795,27391320.0,342751320.0,2582.0,0.02988426,5929.0,0.07871687153239812,0.08128115260922388
319,2019-11-30,1614335728.0,1424.0,38987082.95049016,38987082.95049016,2122337589.0,2140168114.4719102,0.007948394961397806,0.011278066761993564,0.008,0.01135128973008176,19.561,27.755322301266165,85440.0,113.49821000000001,0.310954,121231.77431727319,85440.0,121231.77431727319,0.00018778121215663328,1.4189112162602202,,40.04422432610134,1.22814648567088,0.000158516779865347,0.00796172715896956,1.11443700915727,1.22814648567088,74127444.68143839,85459.561,121259.52963957448,27476760.0,342836760.0,2461.0,0.028483799999999997,5303.0,0.07880399568586642,0.08153885017652783
