,time,AdrActCnt,AssetEODCompletionTime,NVTAdj,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr
190,2021-06-25,152,1635519284,275.188875896287,538448.6312450233,88,0.001018518519,137,1956.6511527448272,26.18308429612667,1.99,1.901383892747
191,2021-06-26,140,1635519543,466.725949682587,539412.5678071409,108,0.00125,149,1155.7372547508585,8.081873469459671,0.4718306164803464,1.9002185244499998
192,2021-06-27,148,1635519802,153.58962545420098,539754.9673181913,106,0.001226851852,166,3514.267097937177,23.081899558485958,0.5364295157918277,1.906111867958
193,2021-06-28,156,1635520057,252.329496387551,540782.208058976,98,0.001134259259,134,2143.1589084947595,76.46860381949246,1.4418657429591235,1.9214392160499998
194,2021-06-29,148,1635520316,40.644358988802,554845.0314192312,88,0.001018518519,117,13651.218649360377,117.55109865143166,1.4690994931292571,1.8975273469710001
195,2021-06-30,145,1635520577,1128.071586811754,555802.6347731977,69,0.000798611111,100,492.7015636871517,5.7875022391386235,1.00465,1.8952993468669999
196,2021-07-01,162,1635520833,22.887880970976,582409.730338639,110,0.0012731481479999998,139,25446.205836057397,183.37623007535,1.5751214157554148,1.8524787798890001
197,2021-07-02,177,1635521103,428.25000638681604,585370.0655687945,106,0.001226851852,164,1366.8886324313562,10.05545982250453,1.44365625,1.8459276031040002
198,2021-07-03,187,1635521353,189.52247500050203,586802.837537665,108,0.00125,150,3096.217678331349,21.81225432802076,1.0,1.846996181479
199,2021-07-04,188,1635521608,324.65398213359697,598184.7678067966,103,0.00119212963,139,1842.5302036204168,14.492950471791389,1.0,1.815220277691
200,2021-07-05,147,1635521865,441.76696498758497,602679.2352940645,100,0.001157407407,127,1364.2469515822704,12.197798789255037,1.0,1.804253700967
201,2021-07-06,112,1635522114,901.790884380076,604947.4967691422,75,0.0008680555560000001,100,670.8290217249257,7.5424257900780765,2.0996216280271973,1.7987354095449999
202,2021-07-07,149,1635522368,1345.113554203072,606249.5108859717,86,0.00099537037,130,450.70507913003036,4.869502538438812,2.0,1.795916531286
203,2021-07-08,144,1635522622,43.92069832565699,615181.2846187892,87,0.001006944444,119,14006.637145371196,120.67089305093909,2.4827978078006003,1.793184192267
204,2021-07-09,143,1635522884,103.26942050519001,633359.182588988,99,0.001145833333,132,6133.075788463,47.0910808715695,1.0184067313594505,1.751532792337
205,2021-07-10,186,1635523141,86.21867112409299,635663.1133631032,103,0.00119212963,124,7372.685116524312,62.751634303068315,1.2730613777438322,1.757425524309
206,2021-07-11,158,1635523404,73.341285855744,636327.1026394992,101,0.001168981481,130,8676.246880796434,130.83585190335037,1.3252716669548603,1.7823211306400002
207,2021-07-12,135,1635523666,479.17915296948405,636885.8134453841,91,0.001053240741,134,1329.118367313327,10.790881314332225,1.3011085975410377,1.7830279700940002
