,time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
1058,2018-02-21,1705.0,1614335600.0,1425.0,3942069248.653861,2.93590919808307,1.2859508186543602,0.15,0.06570115415153115,9189.39579,4025.0260623881413,0.0,0.0,0.0,0.0,0.0,0.0,257.25734727,25.67576917564147,4.187908445353611e-05,0.43800769434354103,6761.260006072442,-54.83139426457954,0.459786009043231,4.08846502045587e-05,0.0005192076993239089,0.374120479984344,0.459786009043231,8999999999.0,3130.0,0.0362268518518519,2522.0,34984423.55292,15323446.698352365,14193.0331296273,6216.657716849545,327.0,143.2285160503379,0.11287015277642333,0.10214470951176864
1059,2018-02-22,1377.0,1614335600.0,1421.0,3801961023.7592363,1.21645085210151,0.5138776363913922,0.15,0.0633660170696946,3067.889049,1295.9993989790876,0.0,0.0,0.0,0.0,0.0,0.0,139.90450327,24.717836171719433,4.2765065458796025e-05,0.42244011379796403,6470.1395428411215,-55.4163190708784,0.43800769434354103,4.1879084453535904e-05,0.000521023986860123,0.356499536211999,0.43800769434354103,8999999999.0,2522.0,0.0291898148148148,1725.0,64329594.748941004,27175401.32631954,37292.522173299105,15753.857310701567,229.09854900000002,96.78041711050844,0.11290741712861516,0.10215774257972468
1060,2018-02-23,1451.0,1614335600.0,1432.0,3865627923.8174844,2.8282199206908705,1.2147606557038066,0.5,0.21475710690261104,8023.659915,3446.2759802317,0.0,0.0,0.0,0.0,0.0,0.0,45.71300992,24.984095832924265,4.227890931981254e-05,0.4295142138052221,6080.348709482552,-55.25923122955925,0.42244011379796403,4.2765065458796005e-05,0.0005234199050662981,0.342660388292247,0.42244011379796403,8999999999.0,2837.0,0.0328356481481481,2133.0,196880494.51517,84562970.81526655,92302.1549531974,39645.08751725036,313.0,134.4379489210345,0.11290712638533246,0.10220725765756067
1061,2018-02-24,1393.0,1614335600.0,1435.0,3556324082.0359416,2.6922841864608102,1.0638483432287746,0.2,0.0790294240540242,6800.709855,2687.2809149958816,0.0,0.0,0.0,0.0,0.0,0.0,376.43425804,22.97474313358393,4.079316247808301e-05,0.395147120270121,5870.633215684463,-57.8015745256605,0.4295142138052221,4.22789093198125e-05,0.0005019054443747019,0.349620650477594,0.4295142138052221,8999999999.0,2526.0,0.0292361111111111,1953.0,23908557.222929,9447397.536453797,12247.0904879309,4839.4025379934865,313.0,123.68104864454789,0.1130804533483276,0.10272624148341253
1062,2018-02-25,1246.0,1614335600.0,1419.0,3522295368.6218805,1.04645560486726,0.4095473034335452,0.15,0.05870492281688745,2364.9896670000003,925.5769057598092,0.0,0.0,0.0,0.0,0.0,0.0,680.03489251,22.752500388713923,4.0753606329705154e-05,0.3913661521125829,5999.852381372819,-54.149249504235236,0.395147120270121,4.0793162478083004e-05,0.00047379588934079805,0.32184709305956105,0.395147120270121,8999999999.0,2260.0,0.0261574074074074,1632.0,13234615.014774,5179580.353023516,8120.8174110134805,3178.2130621572137,315.0,123.28033791546363,0.11307853235877345,0.10206252687188036
1063,2018-02-26,1309.0,1614335600.0,1426.0,3541792846.498148,0.8050059925503941,0.3167960517911025,0.15,0.059029880781528,1837.023675,722.9285901872962,0.0,0.0,0.0,0.0,0.0,0.0,763.93699443,22.905797341484828,3.816122793687905e-05,0.39353253854352005,5917.521494703493,-61.594301387067595,0.3913661521125829,4.07536063297052e-05,0.00046463339260061396,0.318092114209045,0.3913661521125829,8999999999.0,2282.0,0.026412037037037,1793.0,11781076.272826,4636236.852420047,6570.5980328087,2585.744123600266,311.0,122.38861948703472,0.11303028437703372,0.09440877995064698
1064,2018-02-27,1225.0,1614335600.0,1432.0,3521027649.6744614,0.7351134846461949,0.2875949894861545,0.15,0.05868379416776145,1651.8,646.2259413753891,0.0,0.0,0.0,0.0,0.0,0.0,480.07734637,22.773660708808965,3.672060770784657e-05,0.391225294451743,5929.167840797819,-60.46774545952373,0.39353253854352005,3.8161227936878996e-05,0.000454497444452683,0.31921874888206797,0.39353253854352005,8999999999.0,2247.0,0.0260069444444444,1599.0,18746979.141921,7334292.434878726,11762.415348293302,4601.754408099748,317.0,124.0184183412025,0.11259220702748116,0.09452572296720707
1065,2018-02-28,1407.0,1614335600.0,1430.0,3561069533.171925,0.943701460040568,0.3733985020148586,0.15,0.0593511588927933,2326.224099,920.4273074666262,0.0,0.0,0.0,0.0,0.0,0.0,280.05546755,23.01793630581009,3.83888070426452e-05,0.39567439261862203,5517.6619168812085,-56.765346302517536,0.391225294451743,3.67206077078466e-05,0.000447087550756471,0.31946753179889603,0.391225294451743,8999999999.0,2465.0,0.0285300925925926,1832.0,32136490.951766998,12715586.538234247,17541.7548863357,6940.823210115622,361.0,142.83845573532253,0.11259074343408547,0.0943946165700628
1066,2018-03-01,1325.0,1614335600.0,1416.0,3632564208.5548425,0.8242256240376391,0.3326725002206201,0.15,0.06054273681597435,1927.039509,777.7883055158093,0.0,0.0,0.0,0.0,0.0,0.0,99.72240872,23.424194749137182,3.694909234365885e-05,0.403618245439829,5025.9569045717,-48.142108117647886,0.39567439261862203,3.83888070426451e-05,0.000464775522551507,0.324254898857328,0.39567439261862203,8999999999.0,2338.0,0.0270601851851852,1901.0,90250527.586526,36426759.5944925,47476.660487388704,19162.446405262293,316.0,127.54336555898595,0.11219444617732542,0.09127816843955253
1067,2018-03-02,1491.0,1614335600.0,1435.0,3446072098.4048486,0.8559091944759741,0.3277249771310609,0.15,0.05743453497979575,2262.168001,866.1771145573941,0.0,0.0,0.0,0.0,0.0,0.0,227.72127669,22.207891336852093,3.47643787258913e-05,0.38289689986530495,4276.318621145813,-50.397169520237036,0.403618245439829,3.69490923436587e-05,0.000464301383826114,0.328641075092208,0.403618245439829,8999999999.0,2643.0,0.0305902777777778,2199.0,39521998.690231,15132850.774970094,17972.7151842797,6881.696926222791,327.0,125.20728625595473,0.1122213213592133,0.09140982469871063
