,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
788,2021-07-17,2,1626573886,898543661.3551496,0,0.0,7264.549206611569,461.4024572065329,9.257760472700413e-05,2.92063375604843,143.5188577101758,15.013402854348712,307653658.9,8,9.2592593e-05,8,42350.0,123688.83956865102,5293.75,15461.10494608138,4565.5,13334.153413239106,0.673289175958,0.04551186221402476,0.04175702319068172
789,2021-07-18,2,1626660336,913055556.6615059,0,0.0,8110.448920465029,472.6840807952937,9.359880975563064e-05,2.9678033406984,154.5074945285301,11.906178807706533,307653658.9,8,9.2592593e-05,8,37933.0,112577.68412271241,4741.625,14072.210515339053,3752.5,11136.682035970747,0.673379342283,0.04551967531480567,0.04117604639758456
790,2021-07-19,2,1626746745,931038972.0932368,0,0.0,6649.095718608169,482.44214456715895,9.798953317007138e-05,3.0262567831051297,160.1224328309573,17.12336050669723,307653658.9,8,9.2592593e-05,8,46270.0,140024.90135427436,5783.75,17503.112669284295,4892.5,14805.96131134185,0.6734960059370001,0.04553324783144377,0.0408777698757929
791,2021-07-20,3,1626833034,981845745.0905936,0,0.0,544.1439686782991,504.2227967354467,0.0001072139025111789,3.1913995386927403,169.54166395117753,23.997973302491122,307653658.9,22,0.00025462963,22,565390.1845999999,1804385.974313843,25699.55384545,82017.54428697834,15767.31885,50319.81410431135,0.6752846899609999,0.04567410274955426,0.041753460903745966
792,2021-07-21,2,1626919452,793642683.3987635,0,0.0,7058.866990179883,407.92906237295034,8.031414316380377e-05,2.5796627488078396,117.21154871895546,3.9759796540213954,307653658.9,8,9.2592593e-05,8,43584.0,112432.0212440409,5448.0,14054.002655505112,5010.0,12924.110371527278,0.675341237314,0.04844858905513354,0.057531509798352636
793,2021-07-22,2,1627005936,843136288.1983628,0,0.0,9340.386753901268,434.3002765539042,8.482806956859677e-05,2.74053717161354,129.7220920266607,10.849168027570384,307653658.9,8,9.2592593e-05,8,32938.0,90267.81335860677,4117.25,11283.476669825846,3474.0,9520.626134185439,0.675409625904,0.04862437623196545,0.0585251857773498
794,2021-07-23,2,1627092686,856798271.7180927,0,0.0,12131.453426656153,441.5401684935669,8.328283094993295e-05,2.7849441959557097,132.6603338308864,14.735663592840686,307653658.9,8,9.2592593e-05,8,25360.0,70626.18480943682,3170.0,8828.2731011796,2224.0,6193.715891805499,0.6753568230220001,0.04862458950038555,0.05842024143122895
795,2021-07-24,2,1627179205,884637857.419485,0,0.0,7778.2635678709585,455.99215286077344,8.4158439381402e-05,2.87543421580768,138.85252296061623,19.866063407300906,307653658.9,8,9.2592593e-05,8,39553.0,113732.04953784116,4944.125,14216.506192230145,4237.0,12183.214772377141,0.6754208203100001,0.0486604849350798,0.058543859371680176
796,2021-07-25,2,1627265534,844327747.2649299,0,0.0,20881.942503224054,435.77716219559153,7.814392907244814e-05,2.74440990002778,125.45333291316538,16.260361573763653,307653658.9,8,9.2592593e-05,8,14733.0,40433.391057109286,1841.625,5054.17388213866,1695.0,4651.774780547087,0.6753811425759999,0.04880629694840469,0.05920391892098065
797,2021-07-26,2,1627351684,857347707.6757677,0,0.0,3525.91437625351,442.34888717254654,7.442238678727044e-05,2.7867300871414,126.58838430756308,30.14664299901894,307653658.9,8,9.2592593e-05,8,87255.0,243156.13375352285,10906.875,30394.516719190367,7415.5,20664.99696119705,0.6755219307610001,0.04881380541640142,0.05595967741405704
