,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
194,2021-03-18,321.0,661.0,3798.0,3929.0,143.0,3498.0,3890.0,22.0,2121.0,5036.0,4440.0,3934.0,3898.0,2518.0,35.0,3604.0,194.0,3830.0,858.0,8.0,3569.0,176.0,3809.0,796.0,8.0,3896.0,2373.0,33.0,1627405564.0,1387551478.6674464,1.4596870242609998,1387551478.6674464,950581498.3660738,0.0,0.0,0.9783529823370001,76.402229397727,,0.00016023048805571935,9.250343191116311,50.0657850036892,8.85143202805377,0.00015083451895131798,0.00486645262276484,7.38363179424516,8.85143202805377,1.5814552e-05,150000000.0,149819842.45425537,31924170.37807132,150000000.0,150000000.0,132553743.48357132,150000000.0,150000000.0,150000000.0,127646156.857951,149170960.03294405,150000000.0,100.0,149159833.40310913,149999924.9175194,149999997.01427823,146752947.35050106,149997723.19681498,149999994.3594397,141214691.8765959,149901603.8190927,149999999.94071022,149999997.07449776,149999995.31047148,149999960.12693527,149998980.63745713,149948552.5396087,142792140.8068563,147353446.44627032,149393332.79531136,135747757.684332,149999995.10993728,149999938.92809063,149998624.63383996,147168548.90406317,149330218.86366248,135747757.684332,149933851.15657398,142592109.06411505,145887023.3476123,148855198.4651418,143968871.93785164,150000000.0,600.0,0.006944444444,822.0,1963293.4952610559,18161138.616051048,4513.599165050951,41752.34130385734,2483.974940335952,22977.62067624021,4.815957624655,,0.08624123541029485
195,2021-03-19,8693.0,625.0,7032.0,7292.0,130.0,5746.0,7214.0,19.0,2728.0,8742.0,7896.0,7376.0,7227.0,3347.0,32.0,6109.0,167.0,7095.0,846.0,8.0,6062.0,160.0,7069.0,791.0,8.0,7224.0,3216.0,30.0,1627405584.0,1452206177.6738744,1.345823766101,1452206177.6738744,1079046316.651667,0.0,0.0,0.977831040125,3.972243789435,,0.00016643780472684716,9.68137451782583,56.809287384435436,9.250343191116311,0.000160230488055719,0.00519202316854279,7.772409846475849,9.250343191116311,6.5995856e-05,150000000.0,149853276.5242017,22513713.02388242,150000000.0,150000000.0,146476802.85907862,150000000.0,150000000.0,150000000.0,144343765.92953062,149301879.95217478,150000000.0,100.0,148806570.58362612,149999851.36944938,149999996.14957044,146674656.01875168,149990379.55843872,149999990.88860792,141492676.68145558,149803478.96125123,149999999.92810345,149999997.00404733,149999992.42364618,149999924.2850843,149994785.45740855,149878069.66086215,143078240.02016944,147111671.65019497,149069730.2857541,136811365.28562558,149999992.12311193,149999898.25140926,149994311.58120188,147041097.2583794,149014372.29835704,136811365.28562558,149864881.54709283,142878208.27742818,146104529.99201015,149097199.66109085,145773417.92909077,150000000.0,14616.0,0.16916666666700003,15721.0,37762032.73297398,365588381.4423193,3106.5463559469285,30075.63872890928,242.30989715,2345.8928636850083,5.141544393067,,0.0864045730786457
196,2021-03-20,661.0,577.0,6724.0,6988.0,119.0,5438.0,6909.0,18.0,2552.0,8444.0,7592.0,7070.0,6923.0,3151.0,31.0,5798.0,152.0,6787.0,783.0,7.0,5652.0,136.0,6750.0,687.0,7.0,6917.0,2890.0,26.0,1627405609.0,1297517980.713033,1.219073278167,1297517980.713033,1064347815.6322312,0.0,0.0,0.9796359817929999,41.468735726839,,0.0001485053047847323,8.65011987142022,34.63550549288774,9.68137451782583,0.000166437804726847,0.00534772119039535,8.14277666448037,9.68137451782583,6.5653306e-05,150000000.0,149856190.21410158,21910121.38011061,150000000.0,150000000.0,146501424.59697253,150000000.0,150000000.0,150000000.0,144358722.23091856,149298905.59901732,150000000.0,100.0,148883298.16019166,149999849.3104663,149999996.15675727,146945397.26896688,149990398.25510436,149999990.74682695,142061241.56455877,149811712.79676756,149999999.92805052,149999996.98870993,149999992.430833,149999922.22610125,149994764.32118782,149883643.146667,143652714.4036404,147334253.8363045,149126091.100748,137358644.98562688,149999991.80213508,149999884.27837494,149993202.94119024,147166260.13347512,149026147.29960403,137358644.98562688,149856225.4377504,143117543.1560916,146613380.98972934,149183593.44218174,146249220.95304254,150000000.0,935.0,0.010821759258999999,1040.0,3617182.857661051,31289065.315614436,3830.575657854388,33134.93861698483,581.347218475,5028.723126725469,5.168103050962,,0.08932769730531086
197,2021-03-21,484.0,551.0,6487.0,6753.0,115.0,5227.0,6673.0,18.0,2445.0,8213.0,7356.0,6835.0,6687.0,3032.0,31.0,5559.0,150.0,6551.0,746.0,7.0,5361.0,125.0,6509.0,618.0,7.0,6679.0,2681.0,25.0,1627405627.0,1203719754.529515,1.141117033527,1203719754.529515,1054860911.8636161,0.0,0.0,0.980421806102,82.216049447187,,0.00013968820010903265,8.024798363530099,21.05815942061496,8.65011987142022,0.00014850530478473201,0.00477183499061889,7.27104999149309,8.65011987142022,6.3318643e-05,150000000.0,149859190.2379903,15159992.1669726,150000000.0,150000000.0,146412575.63361797,150000000.0,150000000.0,150000000.0,144291237.68099135,149301414.33573607,150000000.0,100.0,148924657.01001325,149999848.30179834,149999996.16552925,147063270.9152348,149990729.78306723,149999990.738159,142300002.4943437,149817293.0973138,149999999.92804998,149999996.99748182,149999992.42216507,149999922.2174333,149994750.02282396,149887667.83203378,143903397.73113406,147469683.5810099,149154528.5957856,137579367.51076227,149999991.5554479,149999878.50461578,149992553.8883373,147198211.92720455,149015307.7502121,137579367.51076227,149849429.21314394,143246483.32402238,146808927.97641936,149224287.91432297,146405805.70299074,150000000.0,658.0,0.007615740740999999,755.0,1824461.2944624159,14640934.010126006,2798.3819639594362,22456.451004913837,357.7649617297651,2870.991679417428,5.18218824018,,0.0905515109197082
198,2021-03-22,322.0,541.0,6375.0,6642.0,114.0,5114.0,6563.0,19.0,2394.0,8107.0,7246.0,6724.0,6577.0,2973.0,32.0,5443.0,147.0,6440.0,731.0,7.0,5205.0,119.0,6390.0,580.0,7.0,6568.0,2546.0,24.0,1627405644.0,1145565955.581531,1.092397354017,1145565955.581531,1048671485.1232146,0.0,0.0,0.980910690742,68.062202014486,,0.0001402509890538874,7.637106370543539,8.433460998819285,8.024798363530099,0.000139688200109033,0.00449637646764074,6.759216621920481,8.024798363530099,6.316681e-05,150000000.0,149857848.4452383,15282275.362771474,150000000.0,150000000.0,146410014.24473366,150000000.0,150000000.0,150000000.0,144296282.71510702,149309763.88078332,150000000.0,100.0,148950119.57555917,149999846.93581834,149999996.1576312,147136603.61128893,149990748.66546962,149999990.74770087,142468722.96777925,149821121.3738189,149999999.9279627,149999996.98958382,149999992.43170688,149999922.11694992,149994728.47148114,149890473.7214894,144070646.3745696,147517746.6696184,149173826.85107863,137453790.59509653,149999991.43723536,149999868.16450024,149992023.07954904,147206868.33846328,149004631.40313274,137453790.59509653,149842526.3965798,143160901.60862806,146894871.46094233,149247004.95296454,146458788.40666145,150000000.0,494.0,0.005717592593,545.0,2203866.398093834,16831162.10870926,4651.201416084745,35521.71996546194,997.88,7620.915705037988,5.199087605325,,0.09050893315019506
199,2021-03-23,241.0,519.0,6277.0,6544.0,111.0,5020.0,6465.0,19.0,2338.0,8010.0,7148.0,6626.0,6479.0,2910.0,31.0,5344.0,143.0,6341.0,705.0,6.0,5056.0,113.0,6286.0,541.0,6.0,6466.0,2413.0,20.0,1627405669.0,1065995707.1887783,1.029330672885,1065995707.1887783,1035620267.8786325,0.0,0.0,0.981469260691,44.573630826144,,0.00013024500751492995,7.106638047925191,2.5119031870829605,7.637106370543539,0.000140250989053888,0.00452136884805923,6.4124543035630595,7.637106370543539,6.2723703e-05,150000000.0,149855921.0656631,17958214.75226446,150000000.0,150000000.0,146399181.18396947,150000000.0,150000000.0,150000000.0,144272388.26433182,149307951.5327834,150000000.0,100.0,148971794.75416297,149999847.75393885,149999996.15890843,147220389.10359097,149990805.58452868,149999990.74897808,142754077.46955264,149823513.88839513,149999999.9274779,149999996.9908611,149999992.4329841,149999921.5858963,149994726.82553947,149892028.1482995,144208639.23900124,147593175.45922238,149191663.31501812,137599724.96993944,149999990.89794585,149999860.92461538,149991329.95281056,147249747.2548819,149003602.30988547,137599724.96993944,149834417.45762762,142899019.37055263,147035782.88329795,149278638.82117158,146585979.10998616,150000000.0,350.0,0.004050925926,415.0,3365218.341423935,23915388.704739038,9760.417290940872,69363.75288342733,1232.2084004515414,8756.859101621962,5.226091426497,,0.09148091782813804
200,2021-03-24,333.0,524.0,6344.0,6608.0,111.0,4984.0,6531.0,19.0,2329.0,8072.0,7210.0,6689.0,6542.0,2898.0,30.0,5307.0,143.0,6408.0,709.0,6.0,4942.0,106.0,6333.0,501.0,6.0,6528.0,2268.0,18.0,1627405686.0,954616954.9970776,0.982125380973,954616954.9970776,971990922.4331417,0.0,0.0,0.981318280472,81.735557646031,,0.00012100129789146748,6.36411303331385,1.120861262804481,7.106638047925191,0.00013024500751493,0.004251011797205171,6.006080342941281,7.106638047925191,6.7581123e-05,150000000.0,149858530.8188379,38107993.38799918,150000000.0,150000000.0,146521168.7225267,150000000.0,150000000.0,150000000.0,43455535.14116871,149312128.57035482,150000000.0,100.0,148977561.35737965,149999848.78932646,149999996.16665313,147197742.07079238,149990094.0207366,149999991.0417564,142851674.47139993,149824364.11418492,149999999.92745796,149999996.9886058,149999992.40522322,149999922.5834552,149994002.54774737,149892611.79099348,144179377.24761498,147579118.91300526,149197210.23106545,137709264.67640752,149999990.57764697,149999831.9995914,149989453.35266513,147121905.4505081,148942757.2225914,137709264.67640752,149815072.10121164,142698100.62413186,147019781.16978946,149285450.65795767,146579086.95396814,150000000.0,436.0,0.005046296296,597.0,1835186.5983419316,11679334.949070798,4261.76308160785,27122.34197255632,1262.0,8031.510648042077,5.243053243562,,0.09201557797327843
201,2021-03-25,192.0,515.0,6333.0,6598.0,111.0,4971.0,6521.0,19.0,2314.0,8066.0,7199.0,6680.0,6532.0,2882.0,31.0,5293.0,143.0,6397.0,693.0,6.0,4887.0,104.0,6319.0,484.0,6.0,6517.0,2199.0,16.0,1627405702.0,904112358.270018,0.9430875075290001,904112358.270018,958672817.7948958,0.0,0.0,0.9816044346449999,180.14907239446399,,0.00011693020190811862,6.02741572180012,0.03979025156590262,6.36411303331385,0.00012100129789146799,0.004010450289411,5.39743940861418,6.36411303331385,6.7621466e-05,150000000.0,149858521.75922298,37794269.755128495,150000000.0,150000000.0,146510353.2915894,150000000.0,150000000.0,150000000.0,43073074.01005477,149311807.35815525,150000000.0,100.0,148984814.46001187,149999848.16306037,149999996.17038706,147240665.1967326,149990085.18382758,149999991.04549032,142864434.53580004,149824363.54988053,149999999.92708275,149999997.00268772,149999992.40895715,149999921.9571891,149993988.6377933,149892528.9953032,144310360.1530602,147625494.5921778,149196270.30698377,137709637.19526222,149999990.42107585,149999826.56723577,149988767.21189123,147133058.96934503,148937051.70209476,137709637.19526222,149806345.68656015,142391692.81130758,147062704.29572967,149296381.24245045,146622320.00023264,150000000.0,288.0,0.003333333333,328.0,832643.7544543777,5018690.056256997,3467.029611222766,20897.228786630665,1000.0,6027.415721800121,5.250634481645,,0.09221343938029793
202,2021-03-26,292.0,516.0,6249.0,6512.0,110.0,4874.0,6435.0,22.0,2300.0,7978.0,7111.0,6590.0,6447.0,2859.0,35.0,5196.0,141.0,6312.0,694.0,6.0,4888.0,111.0,6253.0,523.0,6.0,6436.0,2324.0,22.0,1627405717.0,1021000213.325541,1.0505681098970001,1021000213.325541,971855326.3775628,0.0,0.0,0.981744925952,38.609671455,,0.0001241688100814179,6.806668088836941,14.356944328904689,6.02741572180012,0.00011693020190811899,0.00379337520520921,5.12506221310918,6.02741572180012,6.8246615e-05,150000000.0,149858487.41905665,38118699.4050085,150000000.0,150000000.0,146565777.46836174,150000000.0,150000000.0,150000000.0,42505114.132484496,149310618.99129447,150000000.0,100.0,148996267.51601192,149999850.0722726,149999996.20076197,147261738.89274567,149989993.20942065,149999990.9873044,142941971.2919038,149829734.532561,149999999.92704564,149999996.99271455,149999992.45933202,149999922.52900323,149993893.40900525,149896852.95587745,144471591.80241108,147631571.93795434,149208268.8742261,136567799.03043675,149999991.13627222,149999856.0111748,149990200.8503963,147276733.73652634,149006654.6280796,136567799.03043675,149833298.35374212,142941971.2919038,147094644.16636047,149299980.451729,146626914.1591323,150000000.0,483.0,0.005590277778000001,597.0,3885036.9440420717,26444156.99096376,7724.077633372341,52575.232742774664,1724.9341057971976,11741.053933276266,5.281376310626,,0.0948012301151776
203,2021-03-27,162.0,514.0,6228.0,6492.0,108.0,4855.0,6414.0,22.0,2294.0,7961.0,7092.0,6571.0,6427.0,2854.0,34.0,5178.0,139.0,6291.0,694.0,6.0,4829.0,106.0,6221.0,495.0,6.0,6413.0,2260.0,22.0,1627405745.0,979046852.717709,1.012276437741,979046852.717709,967173408.5827459,0.0,0.0,0.981774880313,245.40194234679,,0.0001165119238479322,6.52697901811806,14.798222637679476,6.806668088836941,0.00012416881008141798,0.00401414885617879,5.77489731759763,6.806668088836941,6.8248507e-05,150000000.0,149856322.56572378,17984053.78632408,150000000.0,150000000.0,146557067.84456602,150000000.0,150000000.0,150000000.0,38862745.47146511,149308663.61167315,150000000.0,100.0,148998666.7258226,149999849.99844587,149999996.19339326,147266232.04698384,149989989.54899317,149999990.87993568,143032061.53423995,149830167.5685464,149999999.9268499,149999996.99645483,149999992.45196328,149999922.45517656,149993904.60230342,149897433.19325513,144457410.1802128,147637822.96639553,149213216.1661672,136585428.21989992,149999990.72868925,149999839.4274208,149989597.12241936,147235987.1822381,148970039.2523771,136585428.21989992,149825039.555664,143032061.53423995,147134847.46684536,149304126.12613386,146676483.60610288,150000000.0,204.0,0.002361111111,242.0,611242.1057695915,3989564.3993484234,4237.399898775553,27657.420230683627,609.03,3975.1260314044416,5.288212649129,,0.09473337484131712
