,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AssetEODCompletionTime,IssTotNtv,NDF,NVTAdj,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr
21,2017-09-12,64.0,194.0,241.0,242.0,56.0,238.0,241.0,3.0,222.0,244.0,242.0,242.0,241.0,228.0,3.0,239.0,110.0,241.0,202.0,2.0,1614334989.0,0.0,0.993219347416,174.45282502,,,,,,1.58412e-07,181041972.92400002,181041972.92400002,89999339.29515,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041872.92400002,181041972.92400002,181041972.92400002,99.999391,181021206.851813,181043075.9508,181043076.0,179815485.799059,181043047.9498,181043075.9508,177848594.859751,181041499.704503,181043076.0,181043076.0,181043075.9508,181043075.9508,181043057.9498,181042240.9498,177848594.859751,180546099.58810702,181031683.955524,177071541.751055,180439463.183506,178988850.312405,177071541.751055,181043076.000076,64.0,0.00074074,64.0,1037776.6939260002,16215.26084259,11512.8691185,1.2866419866686711
22,2017-09-13,19.0,209.0,257.0,258.0,60.0,254.0,257.0,4.0,238.0,260.0,258.0,258.0,257.0,244.0,4.0,255.0,117.0,257.0,217.0,2.0,1614334989.0,0.0,0.992678102248,337.99642642,,,,,,1.58885e-07,181041972.92400002,181041972.92400002,87803518.270873,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041872.92400002,181041972.92400002,181041972.92400002,99.999391,181020215.019937,181043075.9508,181043076.0,179717497.108835,181043047.9498,181043075.9508,177623696.794246,181041499.704503,181043076.0,181043076.0,181043075.9508,181043075.9508,181043057.9498,181042240.9498,177623696.794246,180494036.340996,181030692.123648,176544238.68555,180305679.870285,178823634.224499,176544238.68555,181043076.000076,18.0,0.00020833,18.0,535636.0655050001,29757.55919472,9901.6270625,1.2896005978309382
23,2017-09-14,3.0,210.0,258.0,259.0,60.0,255.0,258.0,4.0,239.0,261.0,259.0,259.0,258.0,245.0,4.0,256.0,117.0,258.0,218.0,2.0,1614334989.0,0.0,0.99263181249,21603.05118488,,,,,,1.58893e-07,181041972.92400002,181041972.92400002,86766736.861055,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041872.92400002,181041972.92400002,181041972.92400002,99.999391,181020215.019937,181043075.9508,181043076.0,179709116.668755,181043047.9498,181043075.9508,177615316.354166,181041499.704503,181043076.0,181043076.0,181043075.9508,181043075.9508,181043057.9498,181042240.9498,177615316.354166,180485655.90091598,181030692.123648,176535858.24547,180297299.43020502,178815253.784419,176535858.24547,181043076.000076,2.0,2.315e-05,2.0,8380.44008,4190.22004,4190.22004,1.2896468875884102
24,2017-09-15,5.0,211.0,262.0,263.0,60.0,259.0,262.0,4.0,243.0,265.0,263.0,263.0,262.0,249.0,4.0,260.0,117.0,262.0,219.0,2.0,1614334989.0,0.0,0.992596885116,28630.8379017,,,,,,1.58898e-07,181041972.92400002,181041972.92400002,86540922.17647,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041729.92299998,181041972.92400002,181041972.92400002,99.999391,181019344.74785,181043075.9508,181043076.0,179702793.309424,181043047.9498,181043075.9508,177608992.99483502,181041499.704503,181043076.0,181043076.0,181043075.9508,181043075.9508,181043057.9498,181042240.9498,177608992.99483502,180479332.541585,181029821.851561,176529534.88613898,180290976.070874,178808930.425088,176529534.88613898,181043076.000076,4.0,4.6299999999999994e-05,4.0,6323.3593310000015,1580.83983275,331.920353,1.2896818149629925
25,2017-09-16,10.0,215.0,268.0,269.0,62.0,265.0,268.0,5.0,248.0,272.0,269.0,269.0,268.0,255.0,5.0,266.0,119.0,268.0,223.0,3.0,1614334990.0,0.0,0.992537991312,167.68054448,,,,,,1.59871e-07,181041972.92400002,181041972.92400002,86844669.93125899,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,90684134.745765,181041972.92400002,181041972.92400002,99.999391,181018892.277761,181043075.950711,181043075.999911,179692130.994072,181043047.94971102,181043075.950711,177544794.269483,181041347.23441398,181043075.999911,181043075.999911,181043075.950711,181043075.950711,181043057.94971102,181042240.94971102,177544794.269483,180468670.226233,181029369.381472,176465636.16078702,180256515.326589,178759952.912727,175456551.16078702,181043076.000076,10.0,0.00011574,10.0,1079690.411052,107969.0411052,5104.922676,1.2956455360558201
26,2017-09-17,225.0,335.0,459.0,462.0,92.0,455.0,461.0,6.0,428.0,478.0,464.0,462.0,461.0,439.0,9.0,456.0,169.0,459.0,360.0,3.0,1614334990.0,0.0,0.9889828382089999,61.95043371,,,,,,1.98785e-07,181041972.92400002,181041972.92400002,86997781.000469,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,90784773.912303,181041972.92400002,181041972.92400002,99.999391,180971452.358515,181043074.30521598,181043075.985416,179048495.140625,181043041.304216,181043075.936216,175618770.11541298,181040408.337659,181043075.999451,181043075.985416,181043075.936216,181043074.30521598,181043051.304216,181041773.74568102,176005265.978558,180085244.787275,181005707.464843,173690562.006717,179187886.105391,177971895.61202,174539712.006717,181043076.000076,251.0,0.00290509,251.0,2922385.9327699994,11642.97184371,2478.624309,1.311787473087252
27,2017-09-18,159.0,410.0,594.0,599.0,107.0,588.0,598.0,6.0,551.0,619.0,602.0,599.0,598.0,563.0,10.0,589.0,201.0,595.0,444.0,3.0,1614334990.0,0.0,0.986497676689,178.41942321,,,,,,2.47101e-07,181041972.92400002,181041972.92400002,85988654.52602701,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,90237882.592397,181041972.92400002,181041972.92400002,99.999391,180938046.927364,181043072.444505,181043075.982705,178598573.854774,181043032.843491,181043075.933505,174651802.795577,181039516.950409,181043075.99918798,181043075.982705,181043075.933505,181043073.444505,181043042.843491,181040997.58150402,175181207.05453998,179863795.70708898,180983641.24491,172723594.686881,178468683.85467902,177576902.611969,174651802.795577,181043076.000076,174.0,0.00201389,174.0,1014704.9729359995,5831.63777549,1242.5536355000002,1.3173922440365455
28,2017-09-19,98.0,468.0,681.0,687.0,125.0,675.0,686.0,6.0,629.0,709.0,691.0,687.0,686.0,645.0,11.0,676.0,233.0,682.0,506.0,3.0,1614334990.0,0.0,0.984648554016,152.84680309,,,,,,2.49817e-07,181041972.92400002,181041972.92400002,82793768.08744,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,88453355.738988,181041972.92400002,181041972.92400002,99.999391,180924167.507038,181043072.214048,181043075.973248,178263802.998147,181043032.613034,181043075.924048,173532282.466232,181038600.552594,181043075.999131,181043075.973248,181043075.924048,181043073.214048,181043042.613034,181040570.349142,174175018.08738798,179710198.589753,180974953.19821998,171604074.35753602,177774347.897153,176999100.133051,173675190.86205,181043076.000076,95.0,0.00109954,95.0,1184474.076945,12468.14817837,5496.6978,1.323934742667891
29,2017-09-20,72.0,514.0,737.0,743.0,135.0,731.0,742.0,6.0,681.0,769.0,747.0,743.0,742.0,697.0,11.0,732.0,255.0,738.0,555.0,3.0,1614334990.0,0.0,0.9829352226479999,277.99416324,,,,,,2.50644e-07,181041972.92400002,181041972.92400002,82162092.537937,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,87474952.521523,181041972.92400002,181041972.92400002,99.999391,180918393.911444,181043072.213931,181043075.973131,177953616.21698,181043032.612917,181043075.923931,172960023.000298,181038268.551207,181043075.999014,181043075.973131,181043075.923931,181043073.213931,181043042.612917,181040238.347755,173602758.621454,179556939.023652,180973513.930805,171032814.891602,177255621.302022,176624922.89106297,173102931.396116,181043076.000076,71.0,0.00082176,71.0,651247.7596340001,9172.50365682,7026.733025,1.3275319404951842
30,2017-09-21,40.0,533.0,771.0,777.0,143.0,765.0,776.0,6.0,712.0,804.0,781.0,777.0,776.0,728.0,11.0,766.0,265.0,772.0,580.0,3.0,1614334990.0,0.0,0.982491498309,409.50709931,,,,,,2.51069e-07,181041972.92400002,181041972.92400002,80955446.583907,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,181041972.92400002,87265021.185365,181041972.92400002,181041972.92400002,99.999391,180906945.46786,181043072.213904,181043075.973104,177873282.997794,181043032.61289,181043075.923904,172533806.37948,181038007.550545,181043075.99898702,181043075.973104,181043075.923904,181043073.213904,181043042.61289,181039977.347093,173176542.000636,179502120.613018,180970192.28554198,170626598.27078402,176992371.285451,176431205.96819198,172809848.564389,181043076.000076,38.0,0.00043981,38.0,442099.969218,11634.20971626,1967.7410109999998,1.3299739006020586
