,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
83,2017-11-19,175,1597,5819,6455,323,5340,6060,164,4041,306706,306456,306441,245152,6060,4041,6455,5340,77192,5819,1597,4491.0,178.0,5538.0,494.0,1.0,5918.0,2267.0,23.0,1614334990,131809247.41571054,11.09790392,11.09790392,200888331.237699,200888331.237699,18101466.066297263,0,0.0,0.9553775259039999,535.24538228,,535.24538228,,2.5053666352626727e-07,0.0020088833123769897,-0.7889095819195576,2.4371095999999997e-05,65613192465.494,65613192465.494,1850758443.478674,65613192465.494,65613192465.494,7149165745.3225765,65613192465.494,65613192465.494,65613192465.494,3864452958.212701,65613192465.494,65613192465.494,65.613192,99035391814.85773,99999576312.35239,99999672754.10164,95537752590.35872,99997568127.88927,99999667095.74872,91976714055.86,99942662483.80606,99999999999.96736,99999999999.89304,99999996310.47098,99999949755.61465,99999672754.10164,99999667095.74872,99942662483.80606,99997568127.88927,99999576312.35239,99035391814.85773,99999640631.0978,99998965493.17815,99975389337.98355,92927685639.68297,96686335516.53177,34386807534.506004,99506349479.02803,46918398492.05382,77917492848.91313,99999841137.96173,99785093685.72144,100000000000,100000000000,202,0.00233796,202,186830196.599371,375320.0641965887,958529.73292624,1925.5743848926961,99500.0,199.88388958151046,2.5441253706482616,,0.08438721114870948
84,2017-11-20,207,1599,5871,6518,324,5384,6123,164,4068,306774,306521,306506,245217,6123,4068,6518,5384,77254,5871,1599,4577.0,180.0,5596.0,523.0,1.0,5974.0,2347.0,40.0,1614334990,141533131.7965972,11.83720074,11.83720074,215708345.346905,215708345.346905,18222918.584624216,0,0.0,0.955139736375,757.4835833,,757.4835833,,2.6083630612948624e-07,0.00215708345346905,-7.752669758903055,2.4765793e-05,65613192465.494,65613192465.494,2642465258.7406287,65613192465.494,65613192465.494,7153361343.107162,65613192465.494,65613192465.494,65613192465.494,3819742340.085984,65613192465.494,65613192465.494,65.613192,99022379553.49245,99999573148.44807,99999672753.73726,95513973637.49315,99997528904.08081,99999667095.38432,91934972958.18272,99941663190.23582,99999999999.96655,99999999999.89223,99999996310.47017,99999949754.25024,99999672753.73726,99999667095.38432,99941663190.23582,99997528904.08081,99999573148.44807,99022379553.49245,99999639810.78339,99998999114.71219,99977488063.39606,92980038180.93744,96797825213.9806,34386807534.506004,99533476945.5432,55011737881.45293,77927516135.72525,99999840881.91658,99778589875.92865,100000000000,100000000000,246,0.00284722,246,132016062.399696,284769.663794522,603012.9671013,1300.7492935614912,173887.0,375.08877047337273,2.545608782547331,,0.08107962831158343
85,2017-11-21,222,1612,5913,6563,326,5421,6167,164,4090,306825,306568,306553,245264,6167,4090,6563,5421,77300,5913,1612,4607.0,180.0,5636.0,529.0,1.0,6016.0,2363.0,40.0,1614334990,141929280.72997612,11.85282008,11.85282008,216312109.496298,216312109.496298,18249843.32875705,0,0.0,0.9547130871789999,650.80050686,,650.80050686,,2.6731606614602997e-07,0.0021631210949629802,-15.785408916794903,2.4963357e-05,65613192465.494,65613192465.494,2542913555.676837,65613192465.494,65613192465.494,7166568340.573218,65613192465.494,65613192465.494,65613192465.494,3741314243.229195,65613192465.494,65613192465.494,65.613192,99017821570.97076,99999573485.06187,99999672751.95703,95471308717.92433,99997509328.57996,99999667083.6041,91868230781.62675,99941050988.46596,99999999999.96632,99999999999.892,99999996310.48994,99999949753.47002,99999672751.95703,99999667083.6041,99941050988.46596,99997509328.57996,99999573485.06187,99017821570.97076,99999639873.41623,99998992889.07146,99977356853.77817,92907352296.35547,96777100346.33044,34386807534.506004,99530491144.80333,54986191286.09597,77901969540.36829,99999840697.21262,99773094365.40656,100000000000,100000000000,264,0.00305556,264,153656917.821468,332378.5203266105,615145.11875569,1330.6333828439404,162488.664902,351.48265874188695,2.5472327656608456,,0.07901703023007754
86,2017-11-22,322,1640,6020,6673,329,5517,6276,163,4153,306947,306687,306672,245381,6276,4153,6673,5517,77412,6020,1640,4751.0,185.0,5755.0,575.0,1.0,6128.0,2542.0,51.0,1614334990,153535333.5421275,12.56067527,12.56067527,234000705.914244,234000705.914244,18629627.86053274,0,0.0,0.953872249639,228.00957353,,228.00957353,,2.836510638612104e-07,0.00234000705914244,-7.6580227596559585,2.5775922000000002e-05,65613192465.494,65613192465.494,1882147581.223953,65613192465.494,65613192465.494,7193160755.440645,65613192465.494,65613192465.494,65613192465.494,3551146995.546677,65613192465.494,65613192465.494,65.613192,99000285630.5028,99999572755.2736,99999672739.96878,95387224963.87788,99997428653.61299,99999666953.81584,91673600162.25255,99939481440.53795,99999999999.96608,99999999999.89177,99999996310.42426,99999949751.48177,99999672739.96878,99999666953.81584,99939481440.53795,99997428653.61299,99999572755.2736,99000285630.5028,99999641432.40724,99999046744.60176,99979783848.60835,93037185999.87183,96898293520.99155,34386807534.506004,99584834784.08856,59862141095.13522,77871560341.26967,99999840236.72314,99757688121.47777,100000000000,100000000000,361,0.00417824,361,438578075.69245416,1026275.7931054496,1273124.33328155,2979.1199270448396,408144.0,955.059841146632,2.5518287445039918,,0.08048014050761466
87,2017-11-23,389,1692,6146,6817,329,5627,6421,162,4245,307098,306836,306822,245531,6421,4245,6817,5627,77558,6146,1692,4775.0,180.0,5853.0,535.0,1.0,6251.0,2457.0,34.0,1614334991,139409346.27528352,11.5715273,11.5715273,212471518.359054,212471518.359054,18361579.494613037,0,0.0,0.952212770289,117.07717394,,117.07717394,,2.632311814767715e-07,0.00212471518359054,-20.89368037230453,2.6582422999999998e-05,65613192465.494,65613192465.494,1997400847.4063191,65613192465.494,65613192465.494,6969372095.095174,65613192465.494,65613192465.494,65613192465.494,3508595314.914371,65613192465.494,65613192465.494,65.613192,98985295416.8024,99999568907.56479,99999672735.0272,95221277028.8744,99997348793.29686,99999667047.87427,91589725271.8808,99938703960.37386,99999999999.96611,99999999999.89415,99999996310.42664,99999949749.74019,99999672735.0272,99999667047.87427,99938703960.37386,99997348793.29686,99999568907.56479,98985295416.8024,99999636261.03261,99998934568.1878,99976077255.79936,92774725213.7165,96560610025.95807,34386807534.506004,99510959795.5588,52187068441.762886,77899582403.54602,99999839637.99232,99735328598.45184,100000000000,100000000000,608,0.00703704,608,854137460.1937449,1814798.8305471104,1493689.74670821,3173.665284404441,500000.0,1062.3575917952699,2.560910378163978,,0.08139819975739633
88,2017-11-24,271,1671,6136,6811,322,5610,6414,162,4223,307094,306829,306815,245523,6414,4223,6811,5610,77549,6136,1671,4689.0,177.0,5817.0,493.0,1.0,6221.0,2353.0,23.0,1614334991,130979086.89257084,10.57107933,10.57107933,199623097.079833,199623097.079833,18883889.789366096,0,0.0,0.9527117279899999,94.39284968,,94.39284968,,2.424840332550446e-07,0.00199623097079833,-37.06785727912948,2.7016203e-05,65613192465.494,65613192465.494,3279355599.853749,65613192465.494,65613192465.494,7397612842.198152,65613192465.494,65613192465.494,65613192465.494,3973431584.803853,65613192465.494,65613192465.494,65.613192,98985215053.32185,99999569101.50943,99999672741.57187,95271172798.984,99997305382.5929,99999666972.31894,91641707096.72925,99938499644.22252,99999999999.96452,99999999999.89256,99999996310.4083,99999949749.28487,99999672741.57187,99999666972.31894,99938499644.22252,99997305382.5929,99999569101.50943,98985215053.32185,99999626434.24727,99998812011.79178,99972788393.29732,92694760158.77869,96428386751.51616,34386807534.506004,99470473784.72618,46914877389.88134,77866441233.89873,99999839671.82895,99740788208.72937,100000000000,100000000000,406,0.00469907,406,1059402278.2422471,2114811.6383614824,2681763.19472842,5353.418745663946,671169.0,1339.8083444397444,2.571798336734576,,0.07498089785950393
89,2017-11-25,219,1680,6180,6863,322,5648,6465,162,4248,307152,306882,306869,245577,6465,4248,6863,5648,77601,6180,1680,4731.0,177.0,5877.0,501.0,1.0,6284.0,2393.0,23.0,1614334991,132000786.66850996,10.61963846,10.61963846,201180253.099145,201180253.099145,18944171.58719291,0,0.0,0.952565316453,550.24868532,,550.24868532,,2.2965348591637997e-07,0.00201180253099145,-30.562292837596644,2.7378428e-05,65613192465.494,65613192465.494,2817111296.999307,65613192465.494,65613192465.494,7349825050.486441,65613192465.494,65613192465.494,65613192465.494,3908299777.1523423,65613192465.494,65613192465.494,65.613192,98981551791.04755,99999567785.38716,99999672740.66365,95256531645.34218,99997269412.594,99999666909.41072,91588742967.72797,99938024528.10909,99999999999.96367,99999999999.89302,99999996310.40877,99999949748.37663,99999672740.66365,99999666909.41072,99938024528.10909,99997269412.594,99999567785.38716,98981551791.04755,99999634616.805,99998889895.14156,99973160743.3616,92642916497.92447,96450405028.71178,34386807534.506004,99481742691.68727,46917222913.68993,77823708808.89743,99999839458.53981,99734995980.88345,100000000000,100000000000,243,0.0028125,243,181736008.94985303,365616.9627775991,825786.18618774,1661.318739430272,299500.0,602.5348580319394,2.573804997167012,,0.07372082487473537
90,2017-11-26,224,1682,6234,6925,319,5693,6528,163,4272,307217,306945,306932,245640,6528,4272,6925,5693,77664,6234,1682,4815.0,182.0,5934.0,529.0,1.0,6339.0,2464.0,38.0,1614334991,141102873.64074427,11.10309222,11.10309222,214774361.889567,214774361.889567,19343652.895756073,0,0.0,0.9522559773810001,387.79573313,,387.79573313,,2.304469849490385e-07,0.00214774361889567,-28.799904319546094,2.7872304e-05,65698192465.494,65698192465.494,1830000289.948718,65698192465.494,65698192465.494,7401439367.9100895,65698192465.494,65698192465.494,65698192465.494,3930709168.602671,65698192465.494,65698192465.494,65.698192,98971080658.1377,99999566200.41597,99999672735.59245,95225597738.08504,99997220328.75273,99999666934.43953,91597209027.6202,99937159944.1376,99999999999.96375,99999999999.8931,99999996310.4088,99999949748.6382,99999672735.59245,99999666934.43953,99937159944.1376,99997220328.75273,99999566200.41597,98971080658.1377,99999633770.88377,99998912426.92336,99975363951.63005,92849996846.14429,96576097250.95985,34301807534.506,99506393115.21703,54001896908.70111,77718843607.29645,99999839195.13364,99728795153.02808,100000000000,100000000000,271,0.00313657,271,257867716.06011403,553833.7416873106,1048011.71728396,2250.8604783245178,440824.967308,946.7790105856492,2.576645108920851,,0.07447426523669166
91,2017-11-27,250,1681,6287,6989,321,5729,6591,163,4289,307286,307011,306998,245706,6591,4289,6989,5729,77729,6287,1681,4830.0,183.0,5973.0,515.0,1.0,6397.0,2444.0,31.0,1614334991,138551320.75248867,10.77635252,10.77635252,210730235.36598402,210730235.36598402,19554875.831908125,0,0.0,0.952132452459,319.77764254,,319.77764254,,2.1656162089470404e-07,0.00210730235365984,-30.410727754643453,2.8641091e-05,65748192475.494,65748192475.494,2580515966.477708,65748192475.494,65748192475.494,7440651021.56308,65748192475.494,65748192475.494,65748192475.494,3945655283.402826,65748192475.494,65748192475.494,65.748192,98961334186.44266,99999562727.3153,99999672727.21776,95213245245.86024,99997143797.92749,99999666865.56483,91441975114.13705,99936177840.37276,99999999999.96307,99999999999.8924,99999996310.40814,99999949748.26352,99999672727.21776,99999666865.56483,99936177840.37276,99997143797.92749,99999562727.3153,98961334186.44266,99999632998.00912,99998865354.51115,99974506717.19676,92771019235.18877,96491040372.67567,34251807524.506,99490731362.08618,50662205385.96705,77663974955.47299,99999838926.00217,99723925904.21132,100000000000,100000000000,346,0.00400463,346,312717296.94899595,658989.8958907624,1007466.06651764,2123.0356132050442,322167.8223765,678.9050103674635,2.580130941511002,,0.07443042271214584
92,2017-11-28,348,1720,6404,7117,326,5835,6720,163,4368,307428,307149,307135,245842,6720,4368,7117,5835,77864,6404,1720,5005.0,184.0,6111.0,580.0,1.0,6519.0,2672.0,51.0,1614334991,154134018.3510117,11.53657513,11.53657513,234430807.217189,234430807.217189,20320658.821796883,0,0.0,0.951075785461,108.06217628,,108.06217628,,2.3603123636967913e-07,0.00234430807217189,-21.234869144187545,2.9326942e-05,65748192475.494,65748192475.494,3003752053.427676,65748192475.494,65748192475.494,7435160068.93226,65748192475.494,65748192475.494,65748192475.494,4103200074.3425455,65748192475.494,65748192475.494,65.748192,98942042311.92613,99999560961.24658,99999672693.59364,95107578546.1208,99997076032.77756,99999666841.94072,91542954121.29048,99934972887.87683,99999999999.96217,99999999999.8864,99999996310.37811,99999949747.34352,99999672693.59364,99999666841.94072,99934972887.87683,99997076032.77756,99999560961.24658,98942042311.92613,99999633383.81972,99998963326.74376,99977784996.8991,92794975344.61237,96666876451.38109,34251807524.506,99560052841.26244,59790595721.71681,77800014967.85126,99999838372.54636,99702422980.35196,100000000000,100000000000,487,0.00563657,487,925393171.257588,2169406.6813119072,2005409.44442677,4701.297548579422,436898.164,1024.2238925822783,2.589897285505361,,0.077504228808477
93,2017-11-29,446,1785,6575,7291,333,5997,6893,161,4497,307612,307330,307316,246022,6893,4497,7291,5997,78039,6575,1785,5048.0,179.0,6256.0,545.0,1.0,6685.0,2567.0,28.0,1614334991,136650250.5306424,10.43713003,10.43713003,207838794.32362399,207838794.32362399,19913404.704903167,0,0.0,0.948683496177,118.51348053,,118.51348053,,2.120798061297884e-07,0.0020783879432362397,-21.35946397436004,2.9977601e-05,65748192475.494,65748192475.494,3109990036.5193763,65748192475.494,65748192475.494,7526845367.050792,65748192475.494,65748192475.494,65748192475.494,4130070316.37984,65748192475.494,65748192475.494,65.748192,98914345982.23897,99999560342.84128,99999672689.31322,94868349617.74046,99997012265.95761,99999666827.6603,91082777264.94713,99933604987.9717,99999999999.96138,99999999999.88559,99999996310.33113,99999949745.06308,99999672689.31322,99999666827.6603,99933604987.9717,99997012265.95761,99999560342.84128,98914345982.23897,99999630796.4971,99998843959.99077,99972863348.4096,92249263697.08873,96279056522.53255,34251807524.506,99460171715.27866,49168055737.59185,77608331210.24556,99999837645.47293,99665547558.86723,100000000000,100000000000,633,0.00732639,633,843785867.6793791,1753714.3740579507,1421167.93458179,2953.738300548742,800000.0,1662.710354588992,2.5988932785312637,,0.07758281033018335
94,2017-11-30,244,1793,6633,7357,329,6047,6958,161,4532,307682,307399,307385,246091,6958,4532,7357,6047,78106,6633,1793,5140.0,180.0,6327.0,579.0,1.0,6748.0,2711.0,46.0,1614334991,147085326.52533862,11.08208397,11.08208397,223710068.65346298,223710068.65346298,20186642.61791374,0,0.0,0.948128221513,229.0031046,,229.0031046,,2.2378358218800908e-07,0.00223710068653463,-17.105187523892056,3.0156755e-05,65748192475.494,65748192475.494,2960494747.576922,65748192475.494,65748192475.494,7509182358.189473,65748192475.494,65748192475.494,65748192475.494,4014174846.763261,65748192475.494,65748192475.494,65.748192,98902413100.06488,99999558344.68707,99999672678.15903,94812822151.26823,99996994746.80641,99999666786.50607,91220036033.39699,99932506065.03767,99999999999.96095,99999999999.88513,99999996310.33072,99999949743.85887,99999672678.15903,99999666786.50607,99932506065.03767,99996994746.80641,99999558344.68707,98902413100.06488,99999631326.5429,99998922844.70274,99974935738.03891,92390688900.69519,96412616253.363,34251807524.506,99512514300.96848,57549357524.81964,77746344120.14964,99999837363.15138,99654395062.42023,100000000000,100000000000,324,0.00375,324,436675302.604474,976886.6192491859,1417445.1827808998,3170.9675915243556,343767.4308,769.042355450926,2.6034858009234734,,0.07884585425459963
